Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50756,10,1961,Kakanui River,1101001,Kakanui River,717,,Kakanui River,,30,15,niwa,j41,2338800,5563300,14030148,ef,1,,
1143,1,1979,Kakanui River,1101001,Kakanui River,717,1100,Kakanui River,,10,10,niwa,j42,2340100,5558400,14032399,efm,1,,
1150,4,1979,Kakanui River,1101001,Kakanui River,717,1430,Kakanui River,,30,15,niwa,j41,2338800,5563300,14030148,ef,1,,
1151,4,1979,Kakanui River,1101001,Kakanui River,717,1340,Kakanui River, ,70,27,niwa,j41,2333400,5570000,14027482,ef,1, , 
1152,4,1979,Kakanui River,1101001,Kakanui River,717,1430,Kakanui River,,10,10,niwa,j42,2339900,5558400,14032872,efm,1,,
1169,8,1979,Kakanui River,1101003,Kauru River,717.04,1000,Kauru River,,70,24,niwa,J41,2334700,5566800,14028881,ef,1,,
1170,8,1979,Kakanui River,1101003,Kauru River,717.04,1030,Kauru River, ,100,28,niwa,j41,2332300,5564200,14029391,ef,1, , 
1171,8,1979,Kakanui River,1101003,Kauru River,717.04,1110,Kauru River,,55,25,niwa,J41,2336500,5567400,14028492,ef,1,,
1174,9,1979,Kakanui River,1101001,Kakanui River,717,930,Kakanui River, ,70,27,niwa,j41,2333400,5570000,14027482,ef,1, , 
1175,9,1979,Kakanui River,1101001,Kakanui River,717,1130,Kakanui River,,10,9,niwa,j42,2340200,5558400,14032872,efm,1,,
1184,12,1979,Kakanui River,1101001,Kakanui River,717,930,Kakanui River,,10,9,niwa,j42,2340200,5558400,14032872,efm,1,,
1185,12,1979,Kakanui River,1101001,Kakanui River,717,1030,Kakanui River,,30,15,niwa,j41,2338800,5563300,14030148,ef,1,,
1188,12,1979,Kakanui River,1101001,Kakanui River,717,1300,Kakanui River, ,70,27,niwa,j41,2333400,5570000,14027482,ef,1, , 
1189,12,1979,Kakanui River,1101003,Kauru River,717.04,1340,Kauru River,,70,24,niwa,J41,2334700,5566800,14028881,ef,1,,
1190,12,1979,Kakanui River,1101003,Kauru River,717.04,1430,Kauru River, ,55,25,niwa,j41,2336500,5567400,14028492,ef,1, , 
1197,3,1980,Kakanui River,1101001,Kakanui River,717,930,Kakanui River, ,70,27,niwa,j41,2333400,5570000,14027482,ef,1, , 
1198,3,1980,Kakanui River,1101003,Kauru River,717.04,1030,Kauru River, ,55,25,niwa,j41,2336500,5567400,14028492,ef,1, , 
1199,3,1980,Kakanui River,1101003,Kauru River,717.04,1130,Kauru River, ,70,24,niwa,j41,2334700,5566800,14028881,ef,1, , 
1200,3,1980,Kakanui River,1101001,Kakanui River,717,1230,Kakanui River,,30,15,niwa,J41,2338800,5563300,14030148,ef,1,,
1201,3,1980,Kakanui River,1101001,Kakanui River,717,1330,Kakanui River,,10,9,niwa,j42,2340200,5558400,14032872,efm,1,,
1212,10,1980,Kakanui River,1101001,Kakanui River,717,1330,Kakanui River, ,70,27,niwa,j41,2333400,5570000,14027482,ef,1, , 
1213,10,1980,Kakanui River,1101003,Kauru River,717.04,1300,Kauru River, ,100,28,niwa,j41,2332300,5564200,14029391,ef,1, , 
1214,10,1980,Kakanui River,1101003,Kauru River,717.04,1200,Kauru River, ,55,23,niwa,j41,2336300,5567400,14028492,ef,1, , 
3759,9,1981,Kakanui River,1101003,Kauru River,717.04, ,Kauru River, ,100,28,niwa,j41,2332300,5564300,14029391,ef,1, , 
3760,9,1981,Kakanui River,1101003,Kauru River,717.04,day,Kauru River,,70,25,niwa,J41,2334200,5566400,14029106,ef,1,,
1394,11,1988,Kakanui River,1101004,Kakanui River South Branch,717.103,1030,Quinns Creek, ,450,60,niwa,i41,2318300,5563800,14030125,ef,1, , 
7385,2,1992,Kakanui River,1101001,Kakanui River,717,1100,Kakanui River, ,20,13,niwa,j41,2339100,5560700,14031278,efm,1, , 
12624,5,1993,Kakanui River,1101001,Kakanui River,717,1000,Kakanui River,,30,15,doco,j41,2338800,5563300,14030148,efp,1,,150
12625,5,1993,Kakanui River,1101003,Kauru River,717.04,1200,Kauru River,,55,25,doco,J41,2336500,5567400,14028492,efp,1,,5000
15840,4,1996,Kakanui River,1101003,Kauru River,717.04,1200,Kauru River,,55,22,doco,J41,2336500,5567500,14028492,efp,2,,40
15841,4,1996,Kakanui River,1101003,Kauru River,717.04,1400,Kauru River,,70,25,doco,J41,2334200,5566400,14029106,efp,1,,20
15842,4,1996,Kakanui River,1101003,Kauru River,717.04,1500,Kauru River,,100,28,doco,J41,2332300,5564200,14029391,efp,1,,60
16194,9,1996,Waianakarua River,1101005,Waianakarua River North Branch (Translocation),720,1330,North Branch Waianakarua River, ,50,13,doco,j42,2334300,5549900,14037021,efp,1, ,100
