Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
1127,2,1978,Waitaki River,1111009,Ahuriri River,711.31,1300,Ahuriri River, ,410,125,niwa,h39,2270500,5633100,13516658,ef,1, , 
1179,10,1979,Waitaki River,1111009,Ahuriri River,711.31,1330,Ahuriri River, ,410,126,niwa,h39,2270400,5633200,13516552,ef,1, , 
1400,3,1989,Waitaki River,1111001,Hakataramea River tributary 1,711.14,1500,Hakataramea River,,215,67,niwa,I40,2312000,5609200,13520760,ef,1,,
5198,7,1989,Waitaki River,1111015,Fraser Stream,711.371,1100,Fraser Stream, ,510,148,niwa,h38,2274100,5660800,13511159,efp,1, , 
5199,7,1989,Waitaki River,1111015,Fraser Stream,711.371,1130,Fraser Stream, ,510,148,niwa,h38,2273700,5660800,13511159,efp,1, , 
13110,12,1992,Waitaki River,1111015,Fraser Stream,711.371, ,Fraser Stream, ,510,148,indm,h38,2273500,5660900,13511137,han, , ,5
10577,9,1993,Waitaki River,1111015,Fraser Stream,711.371,1300,Fraser Stream, ,510,148,docc,h38,2273800,5660800,13511159,pun, , ,8
10523,2,1995,Waitaki River,1111015,Fraser Stream,711.371,1230,Fraser Stream,,510,148,docc,H38,2273900,5660900,13511159,pun,,,1
14260,2,1995,Waitaki River,1111019,Edwards River,711.392,1100,Edward Stream,,840,190,docc,I37,2315400,5688300,13506858,pun,,,1
14261,2,1995,Waitaki River,1111019,Edwards River,711.392,1400,Edward Stream, ,820,188,docc,i37,2315100,5686900,13507050,pun, , ,1
14264,2,1995,Waitaki River,1111006,Otamatapaio River,711.311,1400,Otamatapaio River, ,850,132,docc,h40,2271100,5612200,13520338,pun, , ,1
14265,2,1995,Waitaki River,1111006,Otamatapaio River,711.311,1600,Otamatapaio River,,830,131,docc,H40,2271200,5612500,13520282,pun,,,1
26420,1,2000,Waitaki River,1111009,Ahuriri River,711.31,1300,Ahuriri River, ,410,126,docc,h39,2270450,5633250,13516552,efp,1, ,50
20451,4,2001,Waitaki River,1111015,Fraser Stream,711.371,1000,Fraser Stream,,510,148,docc,H38,2273900,5660900,13511159,gmt,,,2
21856,5,2001,Waitaki River,1111009,Ahuriri River,711.31,930,Ahuriri River, ,410,126,docc,h39,2270300,5633200,13516552,ef,1, , 
21877,11,2001,Waitaki River,1111019,Edwards River,711.392,1130,Edward Stream, ,825,190,docc,i37,2315400,5688200,13506858,efm,1, , 
21878,11,2001,Waitaki River,1111019,Edwards River,711.392,1100,Edward Stream, ,830,190,docc,i37,2315600,5688700,13506654,efm,1, , 
21879,11,2001,Waitaki River,1111019,Edwards River,711.392,1030,Edward Stream, ,870,191,docc,i37,2316000,5689500,13506611,efm,1, , 
21880,11,2001,Waitaki River,1111019,Edwards River,711.392,930,Edward Stream, ,820,189,docc,i37,2315300,5687800,13506959,efm,1, , 
107005,9,2001,Waitaki River,1111005,Corbies Creek,711.311,849,Otamatapaio River, ,428,117,rdcl,H39,2278580,5621145,13518929,efp, , , 
17286,11,2002,Waitaki River,1111019,Edwards River,711.392,1630,Edward Stream, ,780,185,docc,i37,2313900,5685000,13507446,efp,1, ,100
17298,11,2002,Waitaki River,1111019,Edwards River,711.392,1630,Edward Stream, ,780,186,docc,i37,2313900,5685300,13507402,gmt, , ,5
22510,4,2002,Waitaki River,1111009,Ahuriri River,711.31,1400,Ahuriri River, ,410,126,docc,h39,2270400,5633200,13516552,ef,1, , 
22513,11,2002,Waitaki River,1111019,Edwards River,711.392,1530,Edward Stream tributary,,715,181,docc,I37,2311100,5682000,13507852,efm,1,,
17506,1,2003,Waitaki River,1111005,Corbies Creek,711.311,1230,Otamatapaio River tributary, ,430,117,docc,h39,2278800,5620800,13518930,efp,1, ,100
22514,1,2003,Waitaki River,1111005,Corbies Creek,711.311,1400,Otamatapaio River tributary,,430,117,docc,H39,2278800,5620900,13518930,efm,1,,
22515,2,2003,Waitaki River,1111014,Ohau River tributary 2,711.37,1600,Ohau River tributary,,430,137,docc,H38,2279200,5653800,13512444,han,,,1
22519,1,2003,Waitaki River,1111013,Ohau River tributary 1,711.37,1400,Ohau River tributary,,380,129,docc,H39,2284300,5649300,13513182,han,,,1
22523,4,2003,Waitaki River,1111009,Ahuriri River,711.31,1520,Ahuriri River,,410,126,docc,H39,2270400,5633100,13516658,han,,,1
22534,4,2003,Waitaki River,1111015,Fraser Stream,711.371,1500,Fraser Stream,,510,148,docc,H38,2273800,5660800,13511159,efm,1,,
25490,10,2003,Waitaki River,1111005,Corbies Creek,711.311,1700,Otamatapaio River tributary,,430,118,docc,H39,2279000,5620300,13519009,efp,1,,100
28487,12,2004,Waitaki River,1111006,Otamatapaio River,711.311, ,Otamatapaio River, ,835,131,doco,h40,2271168,5612450,13520282,efp,1, ,400
20849,7,2005,Waitaki River,1111014,Ohau River tributary 2,711.37,1425,Unnamed wetland,,450,136,docc,H38,2279277,5653902,0,efm,1,,2
21265,8,2005,Waitaki River,1111014,Ohau River tributary 2,711.37,1330,Ohau River tributary,,430,136,docc,H38,2279277,5653902,13512444,efm,3,,1
21266,8,2005,Waitaki River,1111009,Ahuriri River,711.31, ,Ahuriri River tributary, ,410,126,docc,h39,2270063,5633129,13516657,efm,1, ,3
21267,8,2005,Waitaki River,1111009,Ahuriri River,711.314,1440,Omarama Stream tributary, ,410,126,docc,h39,2270028,5633218,13516657,efm,1, ,15
21268,8,2005,Waitaki River,1111009,Ahuriri River,711.31,1410,Ahuriri River tributary, ,410,126,docc,h39,2270105,5633093,13516657,efm,1, ,75
21328,11,2005,Waitaki River,1111015,Fraser Stream,711.371, ,Fraser Stream, ,510,148,niwa,h38,2274086,5660891,13511178,efp,1, ,30
21329,11,2005,Waitaki River,1111015,Fraser Stream,711.371,day,Fraser Stream,,515,149,niwa,H38,2273200,5660900,13511137,efp,1,,41
26345,2,2005,Waitaki River,1111019,Edwards River,711.392,1130,Edward Stream tributary,,715,181,docc,I37,2311138,5681992,13507852,efp,1,,50
