Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
833,1,1965,Shag River,1121009,Shag River - mainstem upper,726, ,Shag River, ,400,71,unk,i42,2308300,5548700,14037376,ef,1, , 
50767,1,1965,Shag River,1121014,Pigroot Creek,726.24, ,Pigroot Creek, ,400,78,unk,i42,2306400,5552400,14035179,unk, , , 
4014,1,1967,Shag River,1121009,Shag River - mainstem upper,726, ,Shag River, ,660,86,niwa,i42,2306700,5557200,14033241,ef,1, , 
4015,1,1967,Shag River,1121009,Shag River - mainstem upper,726, ,Shag River, ,590,84,niwa,i42,2306300,5555700,14034149,ef,1, , 
4016,1,1967,Shag River,1121014,Pigroot Creek,726.24, ,Pigroot Creek, ,520,80,niwa,i42,2307800,5553700,14035000,ef,1, , 
4017,1,1967,Shag River,1121009,Shag River - mainstem upper,726, ,Shag River, ,590,78,niwa,i42,2306200,5552500,14035593,ef,1, , 
4018,1,1967,Shag River,1121009,Shag River - mainstem upper,726, ,Shag River, ,400,71,niwa,i42,2308300,5548700,14037376,ef,1, , 
4019,1,1967,Shag River,1121002,Shag River - mainstem lower,726,,Shag River,,120,43,niwa,i42,2319600,5540100,14041300,ef,1,,
4020,1,1967,Shag River,1121002,Shag River - mainstem lower,726, ,Shag River, ,50,29,niwa,i42,2323900,5535200,14043212,ef,1, , 
5932,4,1973,Shag River,1121002,Shag River - mainstem lower,726, ,Shag River tributary, ,140,44,niwa,i42,2319100,5539800,0,han, , ,2
3666,,1981,Taieri River,1121042,Shepards Hut Creek,743.864,,Shepherds Hut Creek,,850,258,unk,H43,2263300,5509900,14051806,unk,,,
4926,1,1983,Taieri River,1121022,Nenthorn Stream,743.23,1100,Nenthorn Stream, ,260,95,otfg,i43,2298200,5513500,14050699,ef,2, ,242
4927,1,1983,Taieri River,1121022,Nenthorn Stream,743.23,1400,Nenthorn Stream,,270,97,otfg,I43,2299800,5512900,14050840,ef,2,,368
4928,1,1983,Taieri River,1121022,Nenthorn Stream,743.23,1500,Nenthorn Stream,,300,103,otfg,I43,2299900,5515700,14050067,ef,2,,163
4929,1,1983,Taieri River,1121022,Nenthorn Stream,743.236,1600,Black Rock Stream,,300,103,otfg,I43,2299900,5515900,14049989,ef,2,,45
4930,2,1983,Taieri River,1121022,Nenthorn Stream,743.23,1130,Nenthorn Stream,,300,105,otfg,I43,2298700,5516800,14049741,ef,2,,240
