Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50107,10,1936,Whites Bay,1141130,Pukatea Stream,600, ,Pukatea Stream, ,2,0,unk,p28,2598500,5979500,11014596,unk, , , 
146,7,1961,Hutt River,1141046,Hutt River - Pakuratahi Forks,298,day,Hutt River,,180,42,niwa,S26,2694300,6014500,9008631,ef,1,,
55459,7,1961,Hutt River,1141046,Hutt River - Pakuratahi Forks,298.55, ,Pakuratahi River, ,180,42,niwa,s26,2694300,6014300,9008676,unk, , , 
1082,5,1962,Wainuiomata River,1141041,Catchpool Stream,296.1,,Catchpool Stream,,50,14,unk,R27,2671400,5982500,9015713,unk,,,
50032,8,1962,Waimea River,1141098,Wairoa River,575.02, ,Wairoa River, ,15,10,unk,n27,2519500,5982700,10013921,unk, , , 
50034,8,1962,Waimea River,1141098,Wairoa River,575.02, ,Wairoa River, ,20,11,unk,n27,2520000,5981300,10013921,unk, , , 
50036,2,1962,Waimea River,1141098,Wairoa River,575.02, ,Wairoa River, ,20,11,niwa,n27,2520000,5981300,10013921,unk, , , 
50133,5,1962,Clarence River,1141172,Severn River,621.595,,Alma River,,890,213,unk,N30,2514600,5897100,13002635,unk,,,
55441,9,1962,Waikanae River,1141050,Maungakotukutuku Stream,315,day,Maungakotukutuku Stream,,190,20,niwa,R26,2680200,6024900,9006129,ef,1,,
147,11,1963,Hutt River,1141046,Hutt River - Pakuratahi Forks,298,day,Hutt River,,180,42,niwa,S26,2694300,6014500,9008631,ef,1,,
1083,4,1963,Wainuiomata River,1141041,Catchpool Stream,296.1,day,Catchpool Stream,,50,14,niwa,R27,2671400,5982500,9015713,ef,1,,
50007,5,1963,D'Urville Island,1141103,Mill Arm Creek,585, ,Unnamed stream Mill Arm, ,60,2,unk,p25,2582600,6041500,11002259,unk, , , 
55134,8,1963,Rangitaiki River,1141003,Horomanga River lower,154.2,day,Horomanga River,,155,76,niwa,V17,2839000,6308000,4020577,ef,1,,
55308,10,1963,Ruamahanga River,1141039,Kiriwhakapapa Stream,292.35,day,Kiriwhakapapa Stream,,250,131,niwa,S25,2728500,6040600,9002324,ef,1,,
50118,11,1964,Wairau River,1141162,Wairau River tributary 1,601,,Fish Lake,,1008,160,niwa,N30,2504400,5898400,11033245,ef,1,,
50137,11,1964,Clarence River,1141178,Serpentine Creek,621.67,day,Serpentine Creek,,1130,230,niwa,N30,2491500,5890600,13003844,ef,1,,
50143,11,1964,Clarence River,1141177,Clarence River,621,day,Clarence River,,990,228,niwa,M31,2488600,5888100,13004616,ef,1,,
1098,5,1965,Motueka River,1141095,Motueka River tributary,570,day,Motueka River tributary,,270,76,niwa,N28,2499500,5964800,10019200,ef,1,,
1100,5,1965,Motueka River,1141086,Clark River upper,570.163, ,Clark River, ,590,92,niwa,m28,2487800,5953600,10022054,ef,1, , 
2608,5,1965,Pelorus River,1141108,Whakamarina River,589.05,,Wakamarina River,,50,19,niwa,o27,2561800,5982900,11013815,ef,1,,
2609,5,1965,Pelorus River,1141107,Mountain Camp Creek,589.054,day,Mountain Camp Creek,,40,16,niwa,O27,2564300,5984400,11013379,ef,1,,
