Card,Date,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
3665,,1981,Taieri River,1161026,Stony Creek,743.256,,Stony Creek,,805,121,unk,H43,2268300,5508900,14052098,unk,,,
7813,1,1987,Taieri River,1161017,Canton Stream,743.139,1445,Canton Stream,,510,85,otfg,H44,2272100,5490700,14057667,ef,2,,40
7814,1,1987,Taieri River,1161016,Lee Stream,743.13,1600,Lee Stream,,450,81,otfg,H44,2274800,5490600,14057733,ef,1,,53
11201,6,1989,Taieri River,1161011,Whare Creek,743.09,1000,Whare Creek,,340,52,uoo,I44,2312300,5485400,14058877,han,,,20
10930,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Ratty Creek,,790,120,uoo,H43,2268900,5509400,14051945,efp,1,,5
10931,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Ratty Creek,,790,120,uoo,H43,2268900,5509400,14051945,efp,1,,24
10932,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Ratty Creek,,790,120,uoo,H43,2268800,5509500,14051945,efp,1,,11
10933,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Ratty Creek,,810,121,uoo,H43,2268300,5509900,14051725,efp,1,,11
10934,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Ratty Creek,,790,120,uoo,H43,2268800,5509500,14051945,efp,1,,5
10935,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Ratty Creek,,810,121,uoo,H43,2268300,5509900,14051725,efp,1,,10
10936,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek tributary,,870,124,uoo,H43,2266600,5508300,14051890,efp,1,,4
10937,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek tributary,,880,124,uoo,H43,2266400,5508800,14051890,efp,1,,4
10938,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek tributary,,880,124,uoo,H43,2266500,5508800,14051890,efp,1,,21
10939,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek tributary,,880,124,uoo,H43,2266500,5508800,14051890,efp,1,,3
10940,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek tributary,,890,125,uoo,H43,2266100,5509100,14051890,efp,1,,8
10941,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek tributary,,890,125,uoo,H43,2266100,5509100,14051890,efp,1,,3
10965,1,1990,Taieri River,1161016,Lee Stream,743.13,day,Lee Stream,,430,82,uoo,H44,2274500,5490500,14057755,efp,1,,18
10973,1,1990,Taieri River,1161017,Canton Stream,743.139,day,Canton Stream,,480,83,uoo,H44,2273600,5490800,14057539,efp,1,,6
10974,1,1990,Taieri River,1161017,Canton Stream,743.139,day,Canton Stream,,480,83,uoo,H44,2273600,5490800,14057539,efp,1,,18
10975,1,1990,Taieri River,1161017,Canton Stream,743.139,day,Canton Stream,,490,84,uoo,H44,2273000,5490500,14057718,efp,1,,11
10976,1,1990,Taieri River,1161017,Canton Stream,743.139,day,Canton Stream,,510,85,uoo,H44,2272100,5490600,14057667,efp,1,,7
10977,1,1990,Taieri River,1161017,Canton Stream,743.139,day,Canton Stream,,510,85,uoo,H44,2272100,5490600,14057667,efp,1,,15
10978,1,1990,Taieri River,1161017,Canton Stream,743.139,day,Canton Stream,,510,85,uoo,H44,2272100,5490600,14057667,efp,1,,
10993,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek,,805,121,uoo,H43,2268200,5508900,14052098,efp,1,,33
10994,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek,,805,121,uoo,H43,2268200,5508900,14052098,efp,1,,33
10995,1,1990,Taieri River,1161026,Stony Creek,743.256,day,Stony Creek,,870,124,uoo,H43,2266500,5508200,14052274,efp,1,,14
11811,1,1990,Taieri River,1161012,Smugglers Creek,743.12,day,Smugglers Creek,,170,43,uoo,I44,2293600,5483000,14060065,efp,1,,35
11812,1,1990,Taieri River,1161012,Smugglers Creek,743.12,day,Smugglers Creek,,170,43,uoo,I44,2293600,5483000,14060065,efp,1,,11
11813,1,1990,Taieri River,1161012,Smugglers Creek,743.12,day,Smugglers Creek,,200,43,uoo,I44,2293200,5483300,14059655,efp,1,,17
11814,1,1990,Taieri River,1161012,Smugglers Creek,743.12,day,Smugglers Creek,,200,43,uoo,I44,2293200,5483300,14059655,efp,1,,18
11817,2,1990,Taieri River,1161002,Shepard Stream,743.05, ,Shepherd Stream, ,380,41,uoo,h44,2273700,5473800,14062661,efp,1, ,13
11818,2,1990,Taieri River,1161002,Shepard Stream,743.05,day,Shepherd Stream,,380,41,uoo,H44,2273700,5473800,14062661,efp,1,,9
11819,2,1990,Taieri River,1161002,Shepard Stream,743.05, ,Shepherd Stream tributary, ,400,42,uoo,h44,2272800,5473600,14062637,efp,1, ,20
11820,2,1990,Taieri River,1161002,Shepard Stream,743.05,day,Shepherd Stream tributary,,400,42,uoo,H44,2272800,5473600,14062742,efp,1,,11
11821,2,1990,Taieri River,1161002,Shepard Stream,743.05,day,Shepherd Stream tributary,,420,42,uoo,H44,2273200,5473200,14062755,efp,1,,3
5810,2,1992,Taieri River,1161021,Deep Stream,743.18,1130,Deep Stream,,730,132,uoo,H44,2262700,5492700,14057061,efp,1,,30
5811,2,1992,Taieri River,1161021,Deep Stream,743.18,1430,Barbours Stream,,700,133,uoo,H44,2265000,5490500,14057536,efp,1,,12
15617,12,1992,Taieri River,1161011,Whare Creek,743.09,1400,Whare Creek,,340,52,uoo,I44,2312300,5485600,14058877,han,,,1
15922,2,1992,Taieri River,1161017,Canton Stream,743.139,1200,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
15923,6,1992,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
15924,9,1992,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
15925,12,1992,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
12370,7,1993,Taieri River,1161014,Broad Stream,743.136,900,Broad Stream, ,520,92,uoo,h44,2268500,5488100,14058363,efp,1, ,6
12371,7,1993,Taieri River,1161014,Broad Stream,743.136,900,Broad Stream, ,520,92,uoo,h44,2268500,5488100,14058363,efp,0, ,100
16126,3,1993,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
16127,9,1993,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
16128,9,1993,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
16129,11,1993,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
16130,1,1994,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057537,efp,3,,48
16131,4,1994,Taieri River,1161017,Canton Stream,743.139,930,Canton Stream,,540,87,uoo,H44,2271300,5491000,14057550,efp,3,,48
12374,9,1995,Taieri River,1161003,Lake Mahinerangi tributary 1,743.05,1000,Lake Mahinerangi tributary, ,470,48,doco,h44,2277800,5477500,14061772,efp,1, ,80
5812,1,1996,Taieri River,1161004,Post Office Creek,743.053,1600,Post Office Creek tributary,,540,52,niwa,H44,2280500,5477500,14061688,efp,1,,25
5813,1,1996,Taieri River,1161004,Post Office Creek,743.053,1430,Post Office Creek tributary,,570,53,niwa,H44,2280700,5476800,0,efp,1,,20
5814,1,1996,Taieri River,1161004,Post Office Creek,743.053,1500,Post Office Creek,,550,53,niwa,H44,2281000,5477200,14061739,efp,1,,30
5815,1,1996,Taieri River,1161003,Lake Mahinerangi tributary 1,743.05,1100,Lake Mahinerangi tributary, ,420,47,niwa,h44,2277200,5477300,14061792,obs, , ,6
15642,3,1996,Taieri River,1161006,Lake Mahinerangi tributary 3,743.05,1430,Lake Mahinerangi tributary,,420,51,doco,H44,2271600,5475300,14062196,efp,1,,20
