Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
851,1,1964,Waiau River,1181132,Morley Stream,797.179, ,Morley Stream tributary, ,330,72,unk,d45,2115100,5467100,15042248,ef,1, , 
50820,3,1965,Waiau River,1181132,Morley Stream,797.179, ,Morley Stream tributary, ,320,71,niwa,d45,2115300,5466900,15042248,unk, , , 
837,3,1966,Waiau River,1181168,Lake Thomas,797.422, ,Lake Thomas, ,490,131,niwa,d43,2114900,5513900,15023365,ef,1, , 
50823,5,1972,Waiau River,1181134,Lill Burn,797.301,1545,Moss Burn tributary,,80,40,niwa,d45,2093800,5454700,15047105,ef,1,,
50825,3,1972,Waiau River,1181134,Lill Burn,797.301, ,Moss Burn, ,90,41,niwa,d45,2093000,5454500,15047064,ef,1, , 
50826,5,1972,Waiau River,1181134,Lill Burn,797.3, ,Lill Burn, ,70,38,niwa,d45,2095000,5454400,15047213,ef,1, , 
4373,4,1979,Aparima River,1181121,Hamilton Burn,789.6,1100,Hamilton Burn, ,370,127,slfg,d44,2127500,5495000,15031280,ef,1, , 
4418,1,1980,Oreti River,1181093,Weydon Burn tributary,786.92,1800,Weydon Burn tributary, ,390,154,slfg,d43,2129800,5504700,15026668,ef,1, , 
4434,10,1980,Mataura River,1181064,Waimea Stream 1,775.56,1615,Waimea Stream tributary, ,150,138,slfg,e44,2162600,5474800,15039012,ef,1, , 
108146,1,1980,Oreti River,1181093,Weydon Burn tributary,786.92, ,Weydon Burn tributary, ,363,147,slfg,E43,2130169,5502862,15028203,ef, , ,100
3514,11,1981,Clutha River,1181005,Waiwera River tributary 2,752.13,1600,Waiwera River tributary, ,350,72,otfg,g46,2231000,5425100,14071475,ef,1, , 
4374,3,1981,Oreti River,1181079,Hedgehope Stream,786.126,1120,Hedgehope Stream, ,70,75,slfg,f46,2180100,5439000,15052837,ef,1, , 
