Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
1472,1,1984,Clutha River,1231004,Nevis Burn tributary,752.743,1700,Nevis Burn tributary,,760,238,doco,F42,2192400,5552500,14035656,ef,1,,
1474,2,1984,Clutha River,1231025,Nevis River tributary 18,752.743,1130,Nevis River tributary,,840,268,doco,F43,2183700,5529000,14045673,ef,1,,
11301,3,1991,Clutha River,1231003,Nevis River tributary 2,752.743,1600,Nevis River tributary,,630,233,doco,F42,2195200,5554100,14034833,ef,1,,25
11302,3,1991,Clutha River,1231004,Nevis Burn tributary,752.743,1930,Nevis Burn tributary, ,750,238,doco,f42,2192400,5552500,14035656,ef,1, ,30
11305,3,1991,Clutha River,1231016,Nevis River tributary 11,752.743,1630,Nevis River tributary,,700,246,doco,F42,2192100,5545100,14039041,ef,1,,10
11309,3,1991,Clutha River,1231026,Nevis River tributary 19,752.743,1345,Nevis River tributary,,880,271,doco,F43,2182000,5526100,14046787,ef,1,,30
11312,3,1991,Clutha River,1231005,Nevis River tributary 3,752.743,930,Nevis River tributary,,660,235,doco,F42,2196000,5553000,14035131,ef,1,,20
8773,1,1992,Clutha River,1231023,Sproules Creek,752.743,930,Sproules Creek,,750,250,ci,F42,2190100,5540900,14040986,efm,1,,
106684,3,1993,Clutha River,1231003,Nevis River tributary 2,752.743,,Nevis River tributary,,677,242,doco,F41,2195300,5554000,14034833,efp,,,
106685,3,1993,Clutha River,1231007,Barn Creek,752.743,,Barn Creek,,1048,250,doco,F42,2201200,5551800,14035947,efp,,,
106688,11,1998,Clutha River,1231002,Potters Creek,752.743,,Potters Creek,,1039,248,doco,F42,2200600,5556800,14033650,efp,,,
25205,3,2001,Clutha River,1231011,Coal Creek,752.743,day,Coal Creek tributary,,1230,246,doco,F42,2198800,5545400,14039029,efp,1,,33
25206,3,2001,Clutha River,1231011,Coal Creek,752.741, ,Carrick Range Water Race, ,1180,245,doco,f42,2198500,5545400,0,efp,1, ,36
25209,3,2001,Clutha River,1231011,Coal Creek,752.743, ,Coal Creek tributary, ,1240,246,doco,f42,2199200,5546900,14038156,efp,1, ,6
25210,3,2001,Clutha River,1231011,Coal Creek,752.741, ,Carrick Range Water Race, ,1190,246,doco,f42,2199000,5546800,0,efp,1, ,126
19845,1,2004,Clutha River,1231012,Nevis River tributary 7,752.743,1040,Nevis River tributary,,710,243,docc,F42,2194300,5546200,14038483,efp,1,,200
19846,1,2004,Clutha River,1231015,Nevis River tributary 10,752.743,1130,Nevis River tributary,,750,245,docc,F42,2193600,5545200,14038970,efp,1,,200
19848,1,2004,Clutha River,1231017,Nevis River tributary 12,752.743,1300,Nevis River tributary,,720,246,docc,F42,2192700,5544200,14039509,efp,1,,200
19849,1,2004,Clutha River,1231017,Nevis River tributary 12,752.743,1330,Nevis River tributary, ,760,246,docc,f42,2192900,5544100,14039508,obs, , ,120
19850,1,2004,Clutha River,1231018,Nevis River tributary 13,752.743,1430,Nevis River tributary,,740,254,docc,F42,2192500,5543900,14039434,efp,1,,200
20001,1,2004,Clutha River,1231019,Nevis River tributary 14,752.743,1450,Nevis River tributary,,715,247,docc,F42,2192100,5543500,14039566,efp,1,,200
