Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
55008,11,1953,Lake Rotokawau,1191005,Lake Rotokawau,468, ,Lake Rotokawau, ,60,4,unk,q09,2613800,6538900,1027361,unk, , , 
55034,10,1953,Lake Waingata,1191004,Lake Waingata,468, ,Lake Waingata, ,60,4,unk,q09,2613800,6538300,1027386,unk, , , 
55036,9,1953,Lake Kanono,1191003,Lake Kanono,468, ,Lake Kanono, ,50,6,unk,q09,2613000,6537100,1027494,unk, , , 
2541,3,1965,Lake Waingata,1191004,Lake Waingata,468, ,Lake Waingata, ,60,4,niwa,q09,2613800,6538300,1027386,nfc, , , 
2542,3,1965,Lake Rototuna,1191009,Lake Rototuna,468,1900,Lake Rototuna,,130,6,niwa,P09,2604200,6549500,1026808,nfc,,,
55790,2,1965,Lake Ototoa,1191001,Lake Rototoa,452.01, ,Lake Ototoa, ,70,6,niwa,q10,2621800,6519800,2002581,unn, , , 
331,5,1969,Lake Ototoa,1191001,Lake Rototoa,452.01, ,Lake Ototoa, ,70,7,bior,q09,2622000,6521300,2002581,unk, , , 
55009,3,1970,Lake Rotokawau,1191005,Lake Rotokawau,468, ,Lake Rotokawau, ,60,4,niwa,q09,2613800,6538900,1027361,unk, , , 
55033,3,1970,Lake Swan,1191006,Lake Rotootuauru,468,,Lake Rotootuauru,,40,4,niwa,Q09,2612800,6540400,1027319,unk,,,
55035,3,1970,Lake Waingata,1191004,Lake Waingata,468,,Lake Waingata,,60,4,unk,Q09,2613800,6538300,1027386,unk,,,
55038,3,1970,Lake Ototoa,1191001,Lake Rototoa,452.01, ,Lake Ototoa, ,70,6,niwa,q09,2621500,6520400,2002581,unk, , , 
55696,3,1970,Lake Kanono,1191003,Lake Kanono,468,,Lake Kanono,,50,6,niwa,Q09,2613000,6537100,1027494,unk,,,
4626,11,1977,Lake Humuhumu,1191007,Lake Humuhumu,468,night,Lake Humuhumu,,60,6,uov,Q09,2611700,6541500,1027298,fyn,,,2
4627,11,1977,Lake Waingata,1191004,Lake Waingata,468, ,Lake Waingata, ,60,4,uov,q09,2614000,6538500,1027386,han, , ,1
4628,11,1977,Lake Rotokawau,1191005,Lake Rotokawau,468,day,Lake Rotokawau,,60,4,uov,Q09,2613800,6538900,1027361,pun,,,3
3227,6,1979,Lake Ototoa,1191001,Lake Rototoa,452.01, ,Lake Ototoa, ,70,7,niwa,q09,2621300,6520600,2002581,ncn, , , 
