Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
4178,6,1968,Lake Taharoa,1151002,Lake Taharoa,468,day,Lake Taharoa,,70,8,niwa,O07,2569300,6599600,1020189,obs,,,4
4179,3,1969,Lake Taharoa,1151002,Lake Taharoa,468,day,Lake Taharoa,,70,8,niwa,O07,2569300,6599600,1020189,gin,,,5
4180,9,1970,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,70,8,niwa,o07,2569300,6599600,1020189,gin, , ,4
55061,3,1970,Lake Waikere,1151003,Lake Waikere,468,,Lake Waikere,,70,3,unk,O07,2567500,6600200,1020008,unk,,,
3578,7,1980,Kaiiwi Stream,1151001,Lake Kaiiwi,468,1530,Lake Kaiiwi,,70,7,indm,o07,2569700,6598400,1020308,han,,,1
4177,5,1982,Kaiiwi Stream,1151001,Lake Kaiiwi,468,1700,Lake Kaiiwi, ,70,7,niwa,o07,2569700,6598400,1020308,obs, , ,2
6128,4,1984,Kaiiwi Stream,1151001,Lake Kaiiwi,468,day,Lake Kaiiwi,,70,6,niwa,P07,2570600,6598300,1020308,sen,,,3
6129,4,1984,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,70,8,niwa,o07,2568400,6599000,1020189,sen, , ,2
6990,7,1986,Kaiiwi Stream,1151001,Lake Kaiiwi,468,930,Lake Kaiiwi, ,70,7,nffg,o07,2569800,6598600,1020308,ncn, , , 
6991,7,1986,Lake Taharoa,1151002,Lake Taharoa,468,1000,Lake Taharoa, ,70,8,nffg,o07,2569300,6599600,1020189,ncn, , , 
12134,12,1990,Lake Waikere,1151003,Lake Waikere,468, ,Lake Waikere, ,70,4,nffc,o07,2567200,6600300,1020008,han, , ,35
11627,2,1991,Lake Waikere,1151003,Lake Waikere,468, ,Lake Waikere, ,70,3,niwa,o07,2567500,6600100,1020008,nfc, , , 
14313,1,2001,Lake Waikere,1151003,Lake Waikere,468,night,Lake Waikere,,70,3,docx,O07,2567500,6600200,1020008,fyn,,,13
14314,1,2001,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,70,8,docx,o07,2569000,6599000,1020189,fyn, , ,7
107701,11,2005,Lake Waikere,1151003,Lake Waikere,468,2130-,Lake Waikere,,0,0,docx,O07,2567291,6600293,,spo,1,,
107702,11,2005,Lake Waikere,1151003,Lake Waikere,468,2130-,Lake Waikere,,0,0,docx,O07,2567635,6599793,,spo,1,,
107703,11,2005,Lake Waikere,1151003,Lake Waikere,468,2130-,Lake Waikere,,0,0,docx,O07,2568099,6600086,1021722,spo,1,,
107704,11,2005,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,78,7,docx,p07,2570477,6599056,1020188,spo,1, , 
107705,11,2005,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,78,7,docx,o07,2569884,6599669,1020188,spo,1, , 
107706,11,2005,Lake Taharoa,1151002,Lake Taharoa,468,2130-,Lake Taharoa,,78,7,docx,O07,2568986,6598619,1020188,spo,1,,
107713,2,2006,Lake Waikere,1151003,Lake Waikere,468,2105-,Lake Waikere,,0,0,docx,O07,2567291,6600293,,spo,1,,
107714,2,2006,Lake Waikere,1151003,Lake Waikere,468, ,Lake Waikere, , , ,docx,o07,2567635,6599793, ,spo,1, , 
107715,2,2006,Lake Waikere,1151003,Lake Waikere,468,2105-,Lake Waikere,,0,0,docx,O07,2568099,6600086,1021722,spo,1,,
107716,2,2006,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,78,7,docx,p07,2570477,6599056,1020188,spo,1, , 
107717,2,2006,Lake Taharoa,1151002,Lake Taharoa,468,2105-,Lake Taharoa,,78,7,docx,O07,2569884,6599669,1020178,spo,1,,
107718,2,2006,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,78,7,docx,o07,2568986,6598619,1020188,spo,1, , 
107719,2,2006,Lake Waikere,1151003,Lake Waikere,468,2105-,Lake Waikere,,0,0,docx,O07,2567291,6600293,,spo,2,,
107720,2,2006,Lake Waikere,1151003,Lake Waikere,468,2105-,Lake Waikere,,0,0,docx,O07,2567635,6599793,,spo,2,,
107721,2,2006,Lake Waikere,1151003,Lake Waikere,468, ,Lake Waikere, , , ,docx,o07,2568099,6600086,1021722,spo,2, , 
107723,2,2006,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,78,7,docx,o07,2569884,6599669,1020188,spo,2, , 
107725,4,2006,Lake Waikere,1151003,Lake Waikere,468,1950-,Lake Waikere,,0,0,docx,O07,2567291,6600293,,spo,1,,
107726,4,2006,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,78,7,docx,p07,2570477,6599056,1020188,spo,1, , 
107727,4,2006,Lake Taharoa,1151002,Lake Taharoa,468,1950-,Lake Taharoa,,78,7,docx,O07,2569884,6599669,1020188,spo,1,,
107728,4,2006,Lake Taharoa,1151002,Lake Taharoa,468, ,Lake Taharoa, ,78,7,docx,o07,2568986,6598619,1020188,spo,1, , 
107735,2,2006,Lake Taharoa,1151002,Lake Taharoa,468,2130-,Lake Taharoa,,78,7,docx,O07,2569884,6599669,1020188,spo,1,,
107736,2,2006,Lake Taharoa,1151002,Lake Taharoa,468,2215-,Lake Taharoa,,78,7,docx,O07,2568433,6599614,1020188,spo,1,,
107737,2,2006,Lake Waikere,1151003,Lake Waikere,468,2300-,Lake Waikere,,0,0,docx,O07,2567291,6600293,,spo,1,,
107738,6,2006,Lake Waikere,1151003,Lake Waikere,468,1845-,Lake Waikere,,0,0,docx,O07,2567291,6600293,,spo,1,,
