Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
1123,2,1978,Waitaki River,1221010,Ahuriri River tributary 3,711.313,1000,Glen Creek, ,415,128,niwa,h39,2269200,5634400,13516282,ef,1, , 
3942,6,1980,Waitaki River,1221024,Mary Burn lower,711.391, ,Mary Burn, ,490,150,niwa,i38,2296900,5663400,13510599,ef,1, , 
4336,8,1982,Waitaki River,1221004,Ahuriri River tributary 1,711.312,,Sutherlands Creek,,390,122,docy,h39,2274400,5633800,13516444,ntc,,,
1353,12,1985,Waitaki River,1221013,Ahuriri River 2,711.318,1430,Ahuriri River East Branch,,660,157,niwa,g39,2248300,5635500,13516082,efp,1,,600
1361,12,1985,Waitaki River,1221013,Ahuriri River 2,711.318,1130,Ahuriri River East Branch, ,700,159,niwa,g39,2248500,5637200,13515687,efp,1, ,200
2102,3,1985,Waitaki River,1221025,Mary Burn upper,711.391,1000,Mary Burn tributary, ,590,165,scfg,i38,2295900,5675400,13508799,ef,1, , 
2103,3,1985,Waitaki River,1221025,Mary Burn upper,711.391,1130,Mary Burn tributary, ,570,162,scfg,i38,2294100,5673800,13508846,ef,1, , 
2104,3,1985,Waitaki River,1221025,Mary Burn upper,711.391,1200,Mary Burn, ,570,162,scfg,i38,2294100,5673800,13508601,ef,1, , 
2106,9,1985,Waitaki River,1221025,Mary Burn upper,711.391,1130,Mary Burn tributary, ,570,161,scfg,i38,2293900,5673400,13509022,ef,1, , 
2107,9,1985,Waitaki River,1221025,Mary Burn upper,711.391,1300,Mary Burn tributary, ,570,162,scfg,i38,2294200,5674000,13508846,ef,1, , 
1391,3,1987,Waitaki River,1221016,Ahuriri River tributary 5,711.31,1500,Ahuriri River,,770,191,niwa,g38,2239400,5657800,13511700,obs,,,1
2118,9,1987,Waitaki River,1221031,Fork Stream,711.393,2200,Fork Stream, ,1015,200,scfg,i37,2296900,5700900,13504934,spo, , , 
5198,7,1989,Waitaki River,1221023,Fraser Stream,711.371,1100,Fraser Stream, ,510,148,niwa,h38,2274100,5660800,13511159,efp,1, , 
5199,7,1989,Waitaki River,1221023,Fraser Stream,711.371,1130,Fraser Stream, ,510,148,niwa,h38,2273700,5660800,13511159,efp,1, , 
12809,12,1992,Waitaki River,1221028,Grays River,711.392, ,Grays River, ,510,158,indm,i38,2305800,5661200,13511033,stn, , ,4
12810,12,1992,Waitaki River,1221017,Unnamed stream Lake Benmore,711, ,Lake Benmore, ,362,125,indm,h39,2288800,5647500,13518638,spo, , , 
13110,12,1992,Waitaki River,1221023,Fraser Stream,711.371, ,Fraser Stream, ,510,148,indm,h38,2273500,5660900,13511137,han, , ,5
10577,9,1993,Waitaki River,1221023,Fraser Stream,711.371,1300,Fraser Stream, ,510,148,docc,h38,2273800,5660800,13511159,pun, , ,8
10523,2,1995,Waitaki River,1221023,Fraser Stream,711.371,1230,Fraser Stream, ,510,148,docc,h38,2273900,5660900,13511159,pun, , ,1
14260,2,1995,Waitaki River,1221029,Edward Stream,711.392,1100,Edward Stream,,840,190,docc,i37,2315400,5688300,13506858,pun,,,1
14261,2,1995,Waitaki River,1221029,Edward Stream,711.392,1400,Edward Stream, ,820,188,docc,i37,2315100,5686900,13507050,pun, , ,1
14264,2,1995,Waitaki River,1221003,Otamatapaio River,711.311,1400,Otamatapaio River, ,850,132,docc,h40,2271100,5612200,13520338,pun, , ,1
14265,2,1995,Waitaki River,1221003,Otamatapaio River,711.311,1600,Otamatapaio River, ,830,131,docc,h40,2271200,5612500,13520282,pun, , ,1
14269,5,1995,Waitaki River,1221027,Irishman Creek,711.391,1530,Irishman Creek, ,810,183,docc,i37,2295800,5688900,13506817,pun, , ,1
14498,1,1999,Waitaki River,1221013,Ahuriri River 2,711.318,1200,Ahuriri River East Branch, ,670,158,docc,g39,2248400,5636000,13515958,pun, , ,2
14499,1,1999,Waitaki River,1221013,Ahuriri River 2,711.318,1300,Ahuriri River East Branch, ,690,159,docc,g39,2248500,5637200,13515687,pun, , ,2
18342,5,2000,Waitaki River,1221031,Fork Stream,711.393,1100,Fork Stream, ,1035,202,docc,i37,2297300,5702400,13504690,pun, , ,1
18343,5,2000,Waitaki River,1221031,Fork Stream,711.393,1115,Fork Stream, ,1030,201,docc,i37,2297000,5701800,13504722,pun, , ,1
14889,7,2001,Waitaki River,1221010,Ahuriri River tributary 3,711.313, ,Glen Creek tributary, ,440,132,niwa,h39,2270000,5637600,13515486,efp,1, , 
18350,1,2001,Waitaki River,1221022,Dry Stream,711.371,1215,Dry Stream, ,475,144,docc,h38,2277700,5659600,13511005,obs, , ,2
20451,4,2001,Waitaki River,1221023,Fraser Stream,711.371,1000,Fraser Stream, ,510,148,docc,h38,2273900,5660900,13511159,gmt, , ,2
20477,1,2001,Waitaki River,1221024,Mary Burn lower,711.391,1300,Mary Burn, ,480,150,docc,i38,2296900,5662600,9,ef,1, ,30
20500,3,2001,Waitaki River,1221014,Ahuriri River 3,711.31,1215,Ahuriri River,,715,172,docc,g39,2242500,5643600,13514355,han,,,4
21854,6,2001,Waitaki River,1221026,Irishman Creek tributary,711.391,1510,Irishman Creek tributary, ,660,169,docc,i38,2298900,5678400,13508364,ef,1, , 
21877,11,2001,Waitaki River,1221029,Edward Stream,711.392,1130,Edward Stream, ,825,190,docc,i37,2315400,5688200,13506858,efm,1, , 
21878,11,2001,Waitaki River,1221029,Edward Stream,711.392,1100,Edward Stream, ,830,190,docc,i37,2315600,5688700,13506654,efm,1, , 
