Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50757,1,1965,Clutha River,1071047,Manuherikia River tributary 2,752.63, ,Manuherikia River tributary, ,300,191,niwa,g41,2243000,5561200,14031404,ef,0, , 
4303,12,1981,Taieri River,1071006,Kye Burn,743.64,day,Kye Burn,,360,162,otfg,I42,2293900,5556400,14033473,ef,3,,
4310,12,1981,Taieri River,1071006,Kye Burn,743.64, ,Kye Burn, ,370,165,otfg,i42,2294600,5558500,14032836,ef,1, , 
4311,12,1981,Taieri River,1071006,Kye Burn,743.64, ,Kye Burn, ,405,170,otfg,i41,2293700,5562500,14030445,ef,1, , 
2084,1,1982,Clutha River,1071054,Ida Burn,752.636,1500,Ida Burn,,390,211,otfg,H41,2255000,5566600,14028977,efm,1,,174
4913,12,1983,Clutha River,1071052,Moa Creek lower,752.636,1230,Moa Creek,,440,232,otfg,g42,2246700,5547700,14037440,ef,1,,103
7294,5,1986,Taieri River,1071008,Swin Burn,743.63, ,Swin Burn, ,420,166,otfg,i42,2296900,5558700,14032414,ef,5, , 
7803,1,1987,Taieri River,1071006,Kye Burn,743.64,1833,Kye Burn,,405,171,otfg,I41,2293400,5562600,14030445,ef,1,,
7805,1,1987,Taieri River,1071026,Timber Creek,743.64,1020,Timber Creek, ,650,195,otfg,i41,2299300,5579500,14022626,ef,2, ,74
7807,1,1987,Taieri River,1071006,Kye Burn,743.64,1240,Kye Burn, ,590,192,otfg,i41,2297500,5578100,14023637,ef,1, ,228
7808,1,1987,Taieri River,1071025,Healy Creek,743.648,1345,Healy Creek, ,640,194,otfg,i41,2299100,5578800,14023208,ef,2, ,117
10929,1,1990,Taieri River,1071025,Healy Creek,743.648, ,Healy Creek, ,640,194,uoo,i41,2299000,5578900,14023208,efp,1, ,21
10979,1,1990,Taieri River,1071006,Kye Burn,743.64, ,Kye Burn, ,590,192,uoo,i41,2297600,5578000,14023624,efp,1, ,52
10980,1,1990,Taieri River,1071006,Kye Burn,743.64,day,Kye Burn,,590,192,uoo,I41,2297600,5578000,14023637,efp,1,,71
10982,1,1990,Taieri River,1071025,Healy Creek,743.648,,Healy Creek,,670,194,uoo,i41,2299200,5578700,14023208,efp,1,,20
