Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50109,4,1947,Rakaia River,1251037,Acheron River 1,685.05,,Acheron River,,360,94,unk,K35,2395700,5755500,13042050,unk,,,
812,6,1962,Rangitata River,1251075,Scour Stream,693.12,,Scour Stream tributary,,450,94,unk,J36,2343600,5724600,13051349,unk,,,
816,6,1962,Rakaia River,1251057,Glenariffe Stream,685.1,day,Glenariffe Stream tributary,,440,117,niwa,K35,2375800,5764100,13039393,ef,1,,
801,2,1963,Waimakariri River,1251021,Porter River,664.134, ,Porter River, ,700,118,unk,k34,2406700,5772800,13036746,ef,1, , 
305,12,1964,Ashburton River,1251068,Stour River West Branch,688.052,day,Stour River West Branch,,680,94,niwa,J36,2369100,5736900,13047473,ef,1,,
50323,7,1964,Waimakariri River,1251033,Bealey River,664.24,day,Bealey River,,1008,156,niwa,K33,2392900,5806100,13025892,ef,1,,
50324,7,1964,Waimakariri River,1251033,Bealey River,664.245,day,Devils Punchbowl,,760,159,niwa,K33,2392700,5807300,13024986,ef,1,,
50325,7,1964,Waimakariri River,1251033,Bealey River,664.24,day,Bealey River tributary,,1107,157,niwa,K33,2392600,5806600,13025705,ef,1,,
50326,7,1964,Waimakariri River,1251028,Waimakariri River - Cornishmans Rise,664, ,Waimakariri River, ,550,137,niwa,k34,2405300,5798700,13028486,ef,1, , 
50328,7,1964,Waimakariri River,1251026,Cass River,664.19, ,Cass River, ,570,135,niwa,k34,2407900,5797000,13028629,ef,1, , 
815,4,1965,Rakaia River,1251057,Glenariffe Stream,685.1, ,Glenariffe Stream tributary, ,440,117,niwa,k35,2375800,5764100,13039393,efm,1, , 
2529,5,1965,Buller River,1251141,One Mile Creek,932.42, ,Maruia River, ,550,180,niwa,m31,2453300,5869500,12026371,ef,1, , 
2531,5,1965,Buller River,1251141,One Mile Creek,932.429, ,One Mile Creek, ,560,180,niwa,m31,2453300,5869400,12026392,ef,1, , 
50179,3,1965,Buller River,1251141,One Mile Creek,932.42,day,Maruia River,,550,179,niwa,M31,2453300,5869600,12026371,ef,2,,
50185,8,1965,Buller River,1251141,One Mile Creek,932.429, ,One Mile Creek, ,550,180,niwa,m31,2453400,5869500,12026392,unk, , , 
50187,10,1965,Buller River,1251141,One Mile Creek,932.429,day,One Mile Creek,,560,180,niwa,M31,2453400,5869400,12026392,ef,1,,
246,10,1966,Rakaia River,1251049,Avoca River lower,685.081,day,Avoca River,,660,144,niwa,K34,2391100,5782000,13033772,ef,,,
