Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
7252,3,1985,Clutha River,1261001,Manuherikia River,752.63,1330,Manuherikia River, ,670,247,otfg,h40,2265900,5598300,14015980,efm,1, ,68
7257,3,1985,Clutha River,1261001,Manuherikia River,752.63,1200,Manuherikia River, ,695,249,otfg,h40,2265100,5600600,14015309,efm,1, , 
7260,3,1985,Clutha River,1261001,Manuherikia River,752.639,1630,Rocks Creek, ,590,240,otfg,h40,2266300,5592700,14017360,efm,1, , 
7262,6,1985,Clutha River,1261001,Manuherikia River,752.637,1115,Gate Creek, ,580,238,otfg,h40,2266600,5590300,14018852,ef,1, ,110
7267,6,1985,Clutha River,1261001,Manuherikia River,752.639,1140,Otago Water Race,,630,245,otfg,h40,2265700,5596400,14016701,ef,1,,120
17948,12,1998,Clutha River,1261001,Manuherikia River,752.63,1000,Otago Water Race,,630,243,doco,h40,2265900,5595300,14016701,ef,1,,30
25069,11,2000,Clutha River,1261001,Manuherikia River,752.637,1445,Shepherds Hut Creek, ,780,248,doco,h40,2268300,5598300,14015964,efp,1, ,35
25078,11,2000,Clutha River,1261001,Manuherikia River,752.637, ,Shepherds Hut Creek, ,680,246,doco,h40,2266500,5597800,14015964,obs, , ,1
25079,11,2000,Clutha River,1261001,Manuherikia River,752.637, ,Trinity Creek, ,650,245,doco,h40,2266800,5596500,14016491,obs, , ,1
25194,3,2001,Clutha River,1261001,Manuherikia River,752.63, ,Manuherikia River, ,620,243,doco,h40,2266800,5594500,14017389,efp,1, ,50
25193,3,2003,Clutha River,1261001,Manuherikia River,752.63,day,Manuherikia River,,690,247,doco,H40,2266000,5598600,14015980,efp,1,,25
26217,2,2003,Clutha River,1261001,Manuherikia River,752.63,1700,Manuherikia River West Branch,,715,251,orc,H40,2264340,5601776,14014765,efp,,,
107423,3,2003,Clutha River,1261001,Manuherikia River,752.63,1418,Manuherikia River tributary,,701,255,doco,G42,2265953,5598768,14015819,efp,,,
31179,11,2009,Clutha River,1261001,Manuherikia River,752.63,1630,Manuherikia River,,590,239,doco,H40,2266214,5591631,14018315,efp,1,,50
