Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
816,6,1962,Rakaia River,1301012,Double Hill Stream,685.1,,Glenariffe Stream tributary,,440,117,niwa,k35,2375800,5764100,13039393,ef,1,,
815,4,1965,Rakaia River,1301012,Double Hill Stream,685.1,,Glenariffe Stream tributary,,440,117,niwa,k35,2375800,5764100,13039393,efm,1,,
2529,5,1965,Buller River,1301022,Maruia River,932.42, ,Maruia River, ,550,180,niwa,m31,2453300,5869500,12026371,ef,1, , 
50178,8,1965,Buller River,1301022,Maruia River,932.42, ,Maruia River, ,570,181,niwa,m31,2454600,5869700,12026362,unk, , , 
50179,3,1965,Buller River,1301022,Maruia River,932.42, ,Maruia River, ,550,179,niwa,m31,2453300,5869600,12026371,ef,2, , 
50185,8,1965,Buller River,1301022,Maruia River,932.429, ,One Mile Creek, ,550,180,niwa,m31,2453400,5869500,12026392,unk, , , 
246,10,1966,Rakaia River,1301010,Avoca River upper,685.081,day,Avoca River,,660,144,niwa,K34,2391100,5782000,13033772,ef,,,
249,10,1966,Rakaia River,1301008,Harper River,685.081,day,Harper River,,550,134,niwa,K34,2387000,5776200,13035695,ef,1,,
250,10,1966,Rakaia River,1301011,Wilberforce River upper,685.08,day,Wilberforce River,,560,136,niwa,K34,2378900,5781900,13033373,ef,1,,
50388,11,1966,Rakaia River,1301012,Double Hill Stream,685.1, ,Double Hill Stream, ,380,114,unk,k35,2377900,5764800,13039079,unk, , , 
50177,3,1967,Buller River,1301022,Maruia River,932.42,day,Maruia River,,570,181,niwa,M31,2454600,5869700,12026362,ef,1,,
50175,8,1973,Buller River,1301022,Maruia River,932.42, ,Maruia River, ,580,182,niwa,m31,2455200,5869900,12026297,unk, , , 
5913,3,1974,Buller River,1301022,Maruia River,932.42,,Maruia River,,550,180,niwa,M31,2453400,5869500,12026371,han,,,3
5925,5,1974,Rakaia River,1301008,Harper River,685.081, ,Harper River, ,540,133,niwa,k34,2386300,5775600,13035773,han, , ,2
1051,6,1976,Rakaia River,1301002,Rakaia River lower,685,1530,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
3205,3,1977,Hurunui River,1301001,Landslip Stream,651.26,1345,Landslip Stream,,590,138,niwa,L32,2431700,5834500,13017470,ef,1,,
3051,10,1978,Rakaia River,1301005,Rakaia River tributary,685,1100,Rakaia River,,390,107,niwa,k35,2382400,5761600,13040091,ef,1,,
501,9,1979,Rakaia River,1301002,Rakaia River lower,685,1030,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
502,9,1979,Rakaia River,1301002,Rakaia River lower,685,1400,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
510,10,1979,Rakaia River,1301002,Rakaia River lower,685,1030,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
511,10,1979,Rakaia River,1301002,Rakaia River lower,685,1400,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
515,11,1979,Rakaia River,1301002,Rakaia River lower,685,1200,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
522,12,1979,Rakaia River,1301002,Rakaia River lower,685,1100,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, ,2250
1060,7,1979,Rakaia River,1301005,Rakaia River tributary,685,1430,Rakaia River,,390,108,niwa,K35,2382300,5761900,13040091,ef,1,,
1061,7,1979,Rakaia River,1301005,Rakaia River tributary,685,1530,Rakaia River, ,390,108,niwa,k35,2382300,5761900,13040091,ef,1, , 
1063,7,1979,Rakaia River,1301004,Rakaia River middle 2,685,1230,Rakaia River,,350,97,niwa,K35,2390700,5758300,13041377,ef,1,,
1064,7,1979,Rakaia River,1301002,Rakaia River lower,685,1530,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
1072,8,1979,Rakaia River,1301002,Rakaia River lower,685,1145,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
3104,6,1979,Rakaia River,1301002,Rakaia River lower,685,1430,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
460,10,1980,Rakaia River,1301012,Double Hill Stream,685.1,1100,Double Hill Stream tributary,,430,116,niwa,k35,2377000,5764200,13039341,ef,1,,
482,2,1980,Rakaia River,1301002,Rakaia River lower,685,1030,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, ,500
483,2,1980,Rakaia River,1301002,Rakaia River lower,685,1330,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
491,3,1980,Rakaia River,1301002,Rakaia River lower,685,1045,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, ,100
492,3,1980,Rakaia River,1301002,Rakaia River lower,685,1130,Rakaia River,,200,52,niwa,L36,2415000,5730900,13049623,ef,1,,450
497,4,1980,Rakaia River,1301002,Rakaia River lower,685,1100,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, ,1500
498,4,1980,Rakaia River,1301002,Rakaia River lower,685,1300,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, ,100
499,4,1980,Rakaia River,1301002,Rakaia River lower,685,1500,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, ,80
500,5,1980,Rakaia River,1301002,Rakaia River lower,685,1030,Rakaia River, ,200,52,niwa,l36,2415000,5730900,13049623,ef,1, , 
3526,4,1980,Rakaia River,1301004,Rakaia River middle 2,685,1100,Rakaia River tributary,,350,99,niwa,k35,2390600,5759200,13040886,ef,1,,
