Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50681,3,1972,Waitaki River,1311004,Hopkins River tributary 1,711.378, ,Hopkins River tributary, ,503,179,niwa,h38,2258300,5671500,13509328,han, , ,1
1101,7,1978,Waitaki River,1311016,Blue Stream,711.38,1400,Blue Stream,,670,204,niwa,H36,2279600,5715700,13502881,han,,,2
1122,10,1978,Waitaki River,1311004,Hopkins River tributary 1,711.378,900,Hopkins River tributary, ,530,184,niwa,h38,2258300,5671500,13509328,han, , ,2
4331,6,1982,Waitaki River,1311015,Tasman River 4,711.38, ,Tasman River, ,640,198,docy,h36,2279900,5711000,13503446,fyn, , ,1
1392,7,1987,Waitaki River,1311004,Hopkins River tributary 1,711.378,1300,Hopkins River tributary, ,530,179,niwa,h38,2258600,5671200,13509328,ef,1, , 
1393,7,1987,Waitaki River,1311004,Hopkins River tributary 1,711.378,1130,Hopkins River tributary,,530,184,niwa,H38,2258600,5671200,13509328,ef,1,,
2118,9,1987,Waitaki River,1311018,Fork Stream lower,711.393,2200,Fork Stream, ,1015,200,scfg,i37,2296900,5700900,13504934,spo, , , 
12802,11,1992,Waitaki River,1311036,Godley River lower,711.399,night,Godley River,,725,212,indm,I36,2311100,5714300,13502998,spo,,,200
13106,12,1992,Waitaki River,1311012,Tasman River 1,711.387, ,Ackland Lagoon tributary, ,580,191,indm,h37,2278000,5703700,13504339,ntc, , ,500
13107,12,1992,Waitaki River,1311014,Tasman River 3,711.38,1100,Tasman River,,580,191,indm,h37,2278700,5703800,13504630,pun,,,500
13118,12,1992,Waitaki River,1311025,Cass River tributary 2,711.396,1400,Cass River,,780,205,indm,I37,2304000,5703100,13504428,ntc,,,
10580,11,1994,Waitaki River,1311006,Hopkins River tributary 3,711.378,1625,Hopkins River,,580,190,docc,H37,2255100,5680300,13508124,obs,,,9
10594,1,1995,Waitaki River,1311023,Cass River tributary 1,711.396,1000,Cass River tributary,,730,199,docc,I37,2307900,5699800,9,pun,,,1
10595,1,1995,Waitaki River,1311023,Cass River tributary 1,711.396,1030,Cass River,,730,199,docc,I37,2307900,5699800,13505029,pun,,,1
10597,1,1995,Waitaki River,1311024,Cass River 1,711.396,930,Cass River, ,730,199,docc,i37,2307600,5700200,13505029,pun, , ,1
10598,1,1995,Waitaki River,1311024,Cass River 1,711.396,1330,Cass River, ,720,198,docc,i37,2308700,5700200,13505025,pun, , ,1
10599,1,1995,Waitaki River,1311023,Cass River tributary 1,711.396,1200,Cass River, ,730,198,docc,i37,2308200,5699800,13505029,pun, , ,1
14267,5,1995,Waitaki River,1311012,Tasman River 1,711.38,1100,Tasman River, ,580,190,docc,h37,2277900,5703400,13504413,pun, , ,1
14270,10,1995,Waitaki River,1311028,Cass River 2,711.396,1257,Cass River,,850,211,docc,I37,2300500,5707300,13503940,pun,,,1
14271,10,1995,Waitaki River,1311027,Cass River tributary 4,711.396,1100,Cass River, ,830,210,docc,i37,2300900,5706400,13503976,pun, , ,1
13858,1,1996,Waitaki River,1311014,Tasman River 3,711.38,1330,Tasman River,,610,195,docc,h37,2278200,5708500,13503672,ef,1,,100
13859,2,1996,Waitaki River,1311005,Hopkins River tributary 2,711.378,930,Hopkins River,,550,184,docc,H38,2257000,5675000,13508832,efp,1,,50
14272,2,1996,Waitaki River,1311016,Blue Stream,711.38,1415,Blue Stream,,710,208,docc,H36,2280900,5718700,13502564,ef,1,,
14476,3,1996,Waitaki River,1311014,Tasman River 3,711.38,1600,Tasman River,,620,195,docc,h37,2278200,5708500,13503672,pun,,,1
14481,8,1996,Waitaki River,1311009,Dobson River tributary 2,711.378,1100,Dobson River,,555,187,docc,H38,2261400,5677600,13508372,pun,,,1
14482,8,1996,Waitaki River,1311010,Dobson River tributary 3,711.378,1140,Dobson River,,580,192,docc,H37,2263700,5681700,13507751,pun,,,1
14483,8,1996,Waitaki River,1311011,Dobson River tributary 4,711.378,1220,Dobson River,,610,197,docc,H37,2264500,5685400,13507419,pun,,,1
14488,11,1996,Waitaki River,1311036,Godley River lower,711.399,1115,Godley River, ,725,213,docc,i36,2311200,5715300,13502998,pun, , ,1
18336,8,1999,Waitaki River,1311007,Hopkins River tributary 4,711.378,1130,Hopkins River,,600,192,docc,H37,2254700,5682100,13507704,pun,,,1
18339,9,1999,Waitaki River,1311032,Cass River 3,711.396,1130,Cass River,,910,217,docc,I36,2301200,5712600,13503266,pun,,,1
18340,9,1999,Waitaki River,1311028,Cass River 2,711.396,1300,Cass River, ,870,213,docc,i37,2300000,5709100,13503676,pun, , ,1
18341,5,2000,Waitaki River,1311018,Fork Stream lower,711.393,1100,Fork Stream,,1050,203,docc,I37,2297600,5703000,13504600,pun,,,1
18342,5,2000,Waitaki River,1311018,Fork Stream lower,711.393,1100,Fork Stream,,1035,202,docc,I37,2297300,5702400,13504690,pun,,,1
18343,5,2000,Waitaki River,1311018,Fork Stream lower,711.393,1115,Fork Stream, ,1030,201,docc,i37,2297000,5701800,13504722,pun, , ,1
18344,5,2000,Waitaki River,1311018,Fork Stream lower,711.393,1150,Fork Stream, ,1020,201,docc,i37,2296800,5701300,13504844,pun, , ,1
18345,5,2000,Waitaki River,1311018,Fork Stream lower,711.393,1230,Fork Stream, ,1010,200,docc,i37,2296800,5700700,13504934,pun, , ,1
