Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
3173,10,1973,Taieri River,1321002,Waipori River tributary 2,743.05,,Waipori River tributary,,490,44,niwa,h44,2277800,5475900,14062182,ef,1,,
6380,3,1984,Clutha River,1321033,Talla Burn,752.32,1335,Talla Burn, ,350,95,niwa,g44,2241100,5491400,14057428,ef,1, , 
7912,2,1989,Clutha River,1321028,Beaumont River lower,752.29,1300,Beaumont River, ,280,89,otfg,g44,2244500,5485600,14059049,ef,4, , 
3049,4,1991,Taieri River,1321002,Waipori River tributary 2,743.05,1300,Waipori River tributary,,470,43,niwa,H44,2277600,5475100,14062421,efp,1,,
12372,9,1995,Taieri River,1321002,Waipori River tributary 2,743.05,1100,Waipori River tributary,,400,41,doco,H44,2276600,5475300,0,efp,1,,75
12373,9,1995,Taieri River,1321002,Waipori River tributary 2,743.05,1430,Waipori River tributary,,440,42,doco,H44,2276900,5475200,14062291,efp,1,,45
12375,9,1995,Taieri River,1321002,Waipori River tributary 2,743.05,1300,Waipori River tributary,,480,43,doco,h44,2277700,5475600,14062182,efp,1,,100
12376,9,1995,Taieri River,1321002,Waipori River tributary 2,743.05,1430,Waipori River tributary,,470,43,doco,H44,2277700,5475300,14062246,efp,1,,40
12377,9,1995,Taieri River,1321001,Waipori River tributary 1,743.05,1600,Waipori River tributary,,475,42,doco,H44,2278200,5474600,14062481,efp,1,,100
12380,10,1995,Taieri River,1321002,Waipori River tributary 2,743.05,1345,Waipori River tributary,,570,46,doco,H44,2279800,5476400,0,efp,1,,20
14765,12,1995,Clutha River,1321025,Tuapeka Creek,752.19,,Tuapeka Creek tributary,,110,84,indm,H44,2252786,5472113,14063097,pun,,,1
15660,3,1996,Clutha River,1321024,Reedy Creek,752.12,1030,Waitahuna River,,390,103,doco,H44,2262400,5479000,14061350,efp,1,,30
15665,3,1996,Taieri River,1321007,Waipori River tributary 5,743.05,1340,Waipori River tributary, ,480,70,doco,h44,2255400,5481500,14060559,efp,1, ,30
15666,3,1996,Taieri River,1321007,Waipori River tributary 5,743.05,1400,Waipori River tributary,,490,70,doco,H44,2255300,5481400,14060559,efp,1,,50
16378,10,1996,Taieri River,1321008,Waipori River tributary 6,743.05,1030,Waipori River tributary,,500,72,doco,H44,2254800,5482400,14060262,efp,1,,25
16379,10,1996,Taieri River,1321008,Waipori River tributary 6,743.05,1045,Waipori River tributary, ,510,72,doco,h44,2254700,5482400,14060261,efp,1, ,30
16380,10,1996,Taieri River,1321010,Waipori River tributary 8,743.05,1300,Waipori River tributary,,600,76,doco,H44,2253800,5483600,14059755,efp,1,,20
16386,10,1996,Clutha River,1321023,Waitahuna River tributary 3,752.12,1300,Waitahuna River tributary, ,300,90,doco,h44,2268700,5471800,14063137,efp,1, ,10
16388,10,1996,Clutha River,1321022,Waitahuna River tributary 2,752.12,1400,Waitahuna River tributary, ,280,89,doco,h44,2268600,5471200,14063263,efp,1, ,15
16418,11,1996,Taieri River,1321004,Burnt Creek,743.05,1000,Burnt Creek,,700,69,doco,H44,2258100,5484900,14059275,efp,1,,40
16419,11,1996,Taieri River,1321004,Burnt Creek,743.05,1130,Burnt Creek,,710,70,doco,H44,2258000,5485200,14059275,efp,1,,10
16420,11,1996,Taieri River,1321003,Stony Creek,743.058,1300,Stony Creek,,720,70,doco,H44,2258300,5486000,14059076,efp,1,,50
16901,3,1997,Taieri River,1321011,Deep Creek,743.059,1115,Deep Creek,,740,80,niwa,H44,2254800,5487800,14058607,efp,1,,25
16902,3,1997,Taieri River,1321011,Deep Creek,743.059,1140,Deep Creek tributary,,760,81,niwa,H44,2255300,5488400,14058428,efp,1,,25
16903,3,1997,Taieri River,1321011,Deep Creek,743.059,1200,Deep Creek tributary,,880,83,niwa,H44,2255200,5489800,14057914,efp,1,,25
16904,3,1997,Taieri River,1321011,Deep Creek,743.059,1230,Deep Creek,,1050,86,niwa,H44,2256700,5491500,14057430,efp,1,,20
16905,3,1997,Taieri River,1321014,Waipori River tributary 11,743.05,1300,Waipori River tributary,,830,85,niwa,H44,2253100,5490300,14057826,efp,1,,30
16906,3,1997,Taieri River,1321014,Waipori River tributary 11,743.05,1330,Waipori River tributary,,900,87,niwa,H44,2254200,5491200,14057416,efp,1,,30
16907,3,1997,Taieri River,1321014,Waipori River tributary 11,743.05,1400,Waipori River,,880,86,niwa,H44,2253400,5491200,14057393,efp,1,,40
16908,3,1997,Taieri River,1321015,Waipori River,743.05,1430,Waipori River tributary,,930,89,niwa,H44,2252600,5492500,14057133,efp,1,,25
16910,3,1997,Taieri River,1321004,Burnt Creek,743.05,1030,Burnt Creek, ,450,66,niwa,h44,2258400,5482400,14059969,efp,1, ,100
16911,3,1997,Taieri River,1321004,Burnt Creek,743.05,1130,Burnt Creek, ,520,67,niwa,h44,2258500,5483100,14059855,efp,1, ,100
16918,3,1997,Clutha River,1321027,Tuapeka Creek tributary,752.19,1200,Tuapeka River tributary,,610,96,niwa,H44,2252700,5481500,14060540,efp,1,,20
16919,3,1997,Clutha River,1321027,Tuapeka Creek tributary,752.19,1300,Tuapeka River tributary,,620,97,niwa,H44,2252700,5482100,14060421,efp,1,,10
16920,3,1997,Clutha River,1321027,Tuapeka Creek tributary,752.19,1330,Tuapeka River tributary,,610,97,niwa,H44,2252500,5482300,14060184,efp,1,,10
106226,5,1999,Taieri River,1321004,Burnt Creek,743.05,,Burnt Creek,,690,67,doco,H44,2257925,5485198,14059275,efp,4,,
106227,4,1999,Taieri River,1321004,Burnt Creek,743.05,,Burnt Creek,,690,67,doco,H44,2258070,5484873,14059275,efp,3,,
106228,4,1999,Taieri River,1321004,Burnt Creek,743.05,,Burnt Creek,,690,67,doco,H44,2258440,5483815,14059275,efp,3,,
25000,4,2000,Clutha River,1321041,Armstrongs Creek tributary,752.479,1400,Armstrongs Creek tributary,,960,171,doco,G43,2247500,5502700,14054042,efp,1,,50
25001,4,2000,Taieri River,1321018,Red Swamp Creek,743.94,1530,Red Swamp Creek,,910,274,doco,H43,2255200,5508500,14052131,efp,1,,10
25002,4,2000,Taieri River,1321018,Red Swamp Creek,743.94,1640,Red Swamp Creek, ,920,275,doco,h43,2254700,5508600,14052131,efp,1, ,20
106557,4,2000,Clutha River,1321031,Black Stream,752.29,1200,Black Stream,,648,105,doco,G44,2248000,5490000,14057815,efp,,,16
108258,4,2000,Clutha River,1321030,Little Beaumont Stream,752.293,1300,Little Beaumont Stream, ,469,102,doco,G44,2245200,5488900,14058219,efp, , , 
108266,4,2000,Taieri River,1321016,Bullocky Creek,743.93,1640,Red Swamp, ,959,262,doco,H43,2252700,5508500,14052206,efp, , , 
24927,12,2002,Taieri River,1321011,Deep Creek,743.059,,Deep Creek tributary,,730,78,doco,h44,2255400,5486600,14058919,efp,1,,
24947,12,2002,Taieri River,1321015,Waipori River,743.05,,Waipori River tributary,,740,86,doco,h44,2250400,5491200,0,efp,1,,
24949,12,2002,Clutha River,1321032,Beaumont River upper,752.29,1530,Beaumont River tributary,,1080,108,doco,H44,2250700,5496800,14056020,efp,1,,
24950,12,2002,Taieri River,1321015,Waipori River,743.05,day,Waipori River tributary,,800,85,doco,H44,2250700,5490600,0,efp,1,,
24951,12,2002,Taieri River,1321015,Waipori River,743.05,1440,Unnamed pond, ,820,86,doco,h44,2250900,5491200,14057380,efp,1, , 
24952,12,2002,Clutha River,1321032,Beaumont River upper,752.29,day,Beaumont River,,740,102,doco,G44,2249900,5492100,14057180,efp,1,,
24961,12,2002,Clutha River,1321026,Medwins Creek,752.195,day,Medwins Creek,,590,97,doco,G44,2248000,5483200,14059264,efp,1,,
24962,12,2002,Clutha River,1321031,Black Stream,752.29, ,Black Stream, ,660,97,doco,g44,2248000,5490000,14057815,efp,1, , 
25320,1,2002,Clutha River,1321038,Pinelheugh Creek tributary,752.473,1041,Pinelheugh Creek tributary,,680,140,doco,G43,2235500,5514500,14050398,efp,1,,116
25321,1,2002,Clutha River,1321038,Pinelheugh Creek tributary,752.473,1145,Pinelheugh Creek tributary,,700,141,doco,G43,2235600,5514900,0,efp,1,,22
25355,3,2002,Clutha River,1321033,Talla Burn,752.32, ,Talla Burn, ,340,95,doco,g44,2240900,5490900,14057428,efp,1, ,248
