Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
1436,2,1980,Clutha River,1341048,Cardrona River tributary 2,752.97, ,Cardrona River, ,720,296,otfg,f41,2191600,5577200,14023772,ef,1, , 
1437,2,1980,Clutha River,1341043,Branch Burn,752.973,845,Branch Burn,,460,281,docs,F40,2197400,5590300,14018775,ef,1,,
1438,2,1980,Clutha River,1341045,Boundary Creek,752.975,1120,Boundary Creek,,500,284,otfg,F41,2196100,5587600,14019698,ef,1,,
1439,2,1980,Clutha River,1341041,Spotts Creek,752.971,1420,Spotts Creek, ,400,280,docs,f40,2200600,5596400,14016794,ef,1, , 
1440,2,1980,Clutha River,1341039,Timber Creek,752.971,1530,Timber Creek,,400,270,docs,F40,2201200,5598700,14016003,ef,1,,
1450,2,1980,Clutha River,1341020,Cluden Stream lower,752.883,1400,Cluden Stream,,460,252,doco,G40,2241400,5597000,14016527,ef,1,,
6736,12,1988,Clutha River,1341041,Spotts Creek,752.971,900,Spotts Creek, ,400,280,niwa,f40,2200700,5596300,14016794,efp,1, ,150
11204,8,1989,Clutha River,1341038,Cardrona River upper,752.973,1000,Coes Gully Stream, ,430,276,uoo,f40,2199300,5592800,14017933,han, , ,30
10388,12,1990,Clutha River,1341043,Branch Burn,752.973,1600,Branch Burn,,450,279,niwa,F41,2198400,5589900,14018921,efm,1,,300
10390,12,1990,Clutha River,1341041,Spotts Creek,752.971,1715,Spotts Creek,,400,280,niwa,F40,2200700,5596300,14016794,efm,1,,200
7921,3,1991,Clutha River,1341038,Cardrona River upper,752.97,1400,Cardrona River,,460,280,otfg,f41,2198200,5589300,14019038,ef,2,,
11380,2,1992,Clutha River,1341007,Maori Creek lower,752.636,day,Maori Creek,,440,230,niwa,H42,2251400,5550700,14036386,ef,1,,
11432,3,1992,Clutha River,1341038,Cardrona River upper,752.97,1100,Cardrona River, ,350,267,niwa,f40,2203000,5599400,14015751,efm,1, ,1000
11433,3,1992,Clutha River,1341038,Cardrona River upper,752.97,1400,Cardrona River, ,410,273,niwa,f40,2200000,5594900,14017150,efm,1, ,1600
11434,3,1992,Clutha River,1341041,Spotts Creek,752.971,1200,Spotts Creek, ,400,272,niwa,f40,2200700,5596300,14016794,efm,1, ,450
11435,3,1992,Clutha River,1341038,Cardrona River upper,752.97,1600,Cardrona River, ,450,279,niwa,f41,2198700,5589900,14018888,efm,1, ,1000
11768,3,1994,Clutha River,1341009,Pool Burn tributary,752.636,1330,Pool Burn tributary, ,980,254,otfg,h42,2257800,5537200,14042555,ef,1, , 
9451,10,1995,Clutha River,1341034,Schoolhouse Creek,752.89,1100,Schoolhouse Creek,,400,224,doco,G41,2218400,5589300,14019164,efp,1,,
9454,11,1995,Clutha River,1341035,Sheepskin Creek,752.93,930,Sheepskin Creek,,380,242,doco,G40,2216400,5597600,14016309,efp,1,,
9455,11,1995,Clutha River,1341035,Sheepskin Creek,752.93,1015,Sheepskin Creek,,270,241,doco,G40,2216700,5598900,14015872,efp,1,,
15652,3,1995,Clutha River,1341050,Unnamed stream Roadmans Gully,752.97,1120,Cardrona River, ,970,301,doco,f41,2190200,5572700,14025926,efp,1, ,10
15654,3,1995,Clutha River,1341049,Unnamed stream Wrights Gully,752.974,1340,Wrights Gully, ,820,299,doco,f41,2191300,5574400,14025357,efp,1, ,10
15656,3,1995,Clutha River,1341047,Unnamed stream Maori Gully,752.975,1600,Maori Gully,,720,303,doco,f41,2191500,5578700,14023310,efp,1,,10
16432,11,1995,Clutha River,1341025,Tim Burn,752.884,1500,Tim Burn Left Branch tributary,,520,259,doco,g40,2240600,5604300,14014101,efp,1,,10
15339,1,1996,Clutha River,1341005,Manor Burn tributary 2,752.631, ,Manor Burn tributary, ,730,198,indm,g42,2245000,5534900,14043646,pun, , ,20
15392,1,1996,Clutha River,1341028,Lindis River,752.887, ,Middle Creek, ,435,264,indm,g40,2231700,5610700,14011726,pun, , ,10
15473,1,1996,Clutha River,1341050,Unnamed stream Roadmans Gully,752.974,1250,Roadmans Gully, ,940,301,doco,f41,2190300,5572900,14025927,efp,1, ,6
15475,1,1996,Clutha River,1341049,Unnamed stream Wrights Gully,752.974,1445,Wrights Gully,,830,299,doco,F41,2191400,5574200,14025357,efp,1,,80
15479,2,1996,Clutha River,1341047,Unnamed stream Maori Gully,752.975,1410,Maori Gully, ,680,294,doco,f41,2191800,5578900,14023183,efp,1, ,35
15480,2,1996,Clutha River,1341047,Unnamed stream Maori Gully,752.975,1500,Maori Gully,,710,303,doco,F41,2191600,5578800,14023183,efp,1,,100
16434,11,1996,Clutha River,1341026,Short Spur Creek,752.886,1600,Short Spur Creek,,600,266,doco,G40,2240600,5607000,14013049,efp,1,,10
16435,11,1996,Clutha River,1341026,Short Spur Creek,752.886,1630,Short Spur Creek, ,560,265,doco,g40,2240200,5606800,14013306,efp,1, ,40
16438,11,1996,Clutha River,1341026,Short Spur Creek,752.886,1030,Short Spur Creek,,700,268,doco,G40,2242100,5607800,14012953,efp,1,,10
16442,11,1996,Clutha River,1341025,Tim Burn,752.884,1430,Tim Burn Left Branch tributary,,600,262,doco,G40,2242700,5605300,14013607,efp,1,,20
16443,11,1996,Clutha River,1341025,Tim Burn,752.884,1500,Tim Burn tributary,,550,261,doco,g40,2241900,5604800,14013978,efp,1,,40
16454,11,1996,Clutha River,1341023,Coal Creek lower,752.884,1000,Coal Creek water race, ,400,253,doco,g40,2237800,5599900,14015535,efp,1, ,20
16458,11,1996,Clutha River,1341024,Coal Creek upper,752.884,1200,Coal Creek,,540,262,doco,g40,2245500,5600200,14015447,efp,1,,30
16459,11,1996,Clutha River,1341024,Coal Creek upper,752.884,1230,Coal Creek tributary,,740,263,doco,G40,2246300,5601300,14015068,efp,1,,10
16461,11,1996,Clutha River,1341024,Coal Creek upper,752.884,1100,Coal Creek,,740,264,doco,G40,2247400,5600300,14015051,efp,1,,20
16462,11,1996,Clutha River,1341024,Coal Creek upper,752.884,1300,Coal Creek,,700,263,doco,G40,2246700,5600000,14015457,efp,1,,10
16463,11,1996,Clutha River,1341024,Coal Creek upper,752.884,1330,Coal Creek,,680,262,doco,G40,2246200,5600000,14015457,efp,1,,20
16464,11,1996,Clutha River,1341024,Coal Creek upper,752.884,1430,Coal Creek tributary, ,660,262,doco,g40,2245600,5600500,14015068,efp,1, ,10
16465,11,1996,Clutha River,1341024,Coal Creek upper,752.884,1445,Coal Creek tributary, ,690,263,doco,g40,2245800,5600900,14015068,efp,1, ,10
16466,11,1996,Clutha River,1341025,Tim Burn,752.884,1600,Tim Burn Left Branch tributary,,680,264,doco,G40,2243800,5607100,14013171,efp,1,,30
17550,1,1998,Clutha River,1341008,Maori Creek upper,752.636,1600,Maori Creek tributary, ,800,242,niwa,h42,2260000,5545200,14039085,efp,1, ,20
106691,11,1998,Clutha River,1341010,Shepherds Creek,752.741,,Shepherds Creek,,399,215,doco,F42,2206900,5556800,14033651,efp,,,
17974,12,1999,Clutha River,1341008,Maori Creek upper,752.636,1140,Maori Creek,,680,240,doco,H42,2259000,5546700,14038416,ef,1,,20
25111,1,2000,Clutha River,1341015,Wainui Creek,752.881,1050,Wainui Creek,,320,229,doco,G41,2229200,5585600,14020386,efp,1,,171
25112,1,2000,Clutha River,1341015,Wainui Creek,752.881,1201,Wainui Creek,,400,232,doco,G41,2231200,5584700,14020730,efp,1,,140
25423,12,2000,Clutha River,1341007,Maori Creek lower,752.636,1317,Maori Creek, ,440,230,doco,h42,2251400,5550600,14036386,efp,1, ,72
106686,6,2000,Clutha River,1341010,Shepherds Creek,752.741,,Shepherds Creek,,464,215,uoo,F42,2206300,5555800,14033652,efp,,,
25118,1,2001,Clutha River,1341017,Big Spur Creek,752.883,1000,Big Spur Creek tributary,,640,253,doco,G40,2238500,5591000,14018571,efp,1,,55
25126,1,2001,Clutha River,1341023,Coal Creek lower,752.884,1721,Coal Creek, ,405,253,doco,g40,2237900,5599900,14015483,efp,1, ,42
25128,1,2001,Clutha River,1341026,Short Spur Creek,752.886,933,Short Spur Creek,,560,265,doco,G40,2240100,5606800,14013306,efp,1,,55
25129,1,2001,Clutha River,1341026,Short Spur Creek,752.886,1030,Short Spur Creek,,690,267,doco,G40,2241800,5607700,14012953,efp,1,,34
25131,1,2001,Clutha River,1341025,Tim Burn,752.884,1250,Tim Burn Left Branch tributary, ,680,264,doco,g40,2243900,5607100,14013171,obs, , ,1
