Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50120,2,1947,Clarence River,1241071,Tarndale Brook,621.595,,Tarndale Brook,,940,218,niwa,N30,2511300,5898400,13002432,unk,,,
50132,2,1947,Wairau River,1241023,Wairau River,601,,Wairau River,,1000,161,unk,N30,2501800,5897400,11033346,unk,,,
50138,2,1947,Clarence River,1241069,Alma River,621.595,,Cat Creek,,990,227,niwa,N30,2504800,5891300,13003676,unk,,,
50110,5,1962,Awatere River,1241040,Molesworth Stream,602.37, ,Molesworth Stream, ,940,127,niwa,o30,2531200,5904900,11032572,unk, , , 
50113,5,1962,Awatere River,1241040,Molesworth Stream,602, ,Awatere River, ,850,124,niwa,o30,2532400,5902200,11032885,unk, , , 
50121,5,1962,Clarence River,1241071,Tarndale Brook,621.595, ,Tarndale Brook, ,940,217,niwa,n30,2511700,5898300,13002485,unk, , , 
50137,11,1964,Clarence River,1241080,Serpentine Creek,621.67, ,Serpentine Creek, ,1130,230,niwa,n30,2491500,5890600,13003844,ef,1, , 
2529,5,1965,Buller River,1241091,One Mile Creek ,932.42,day,Maruia River,,550,180,niwa,M31,2453300,5869500,12026371,ef,1,,
2530,5,1965,Buller River,1241081,Maruia River tributary 2,932.42,day,Maruia River tributary,,550,178,niwa,M31,2452200,5869300,12026437,ef,1,,
2531,5,1965,Buller River,1241091,One Mile Creek ,932.429,day,One Mile Creek,,560,180,niwa,M31,2453300,5869400,12026392,ef,1,,
50176,10,1965,Buller River,1241090,Maruia River 3,932.42, ,Maruia River, ,550,179,niwa,m31,2452800,5869700,12026352,ef,1, , 
50178,8,1965,Buller River,1241090,Maruia River 3,932.42, ,Maruia River, ,570,181,niwa,m31,2454600,5869700,12026362,unk, , , 
50179,3,1965,Buller River,1241090,Maruia River 3 ,932.42,day,Maruia River,,550,179,niwa,M31,2453300,5869600,12026371,ef,2,,
50183,10,1965,Buller River,1241081,Maruia River tributary 2,932.42,day,Maruia River tributary,,550,178,niwa,M31,2452200,5869200,12026437,ef,1,,
50185,8,1965,Buller River,1241091,One Mile Creek ,932.429,,One Mile Creek,,550,180,niwa,M31,2453400,5869500,12026392,unk,,,
50187,10,1965,Buller River,1241091,One Mile Creek ,932.429,day,One Mile Creek,,560,180,niwa,M31,2453400,5869400,12026392,ef,1,,
