Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50772,1,1940,Waiau River,1331085,Upukerora River,797.49,,Upukerora River,,210,146,unk,d43,2098500,5519900,15020897,unk,,,
106,1,1962,Oreti River,1331028,Oreti River upper,786, ,Oreti River, ,290,138,niwa,e44,2139000,5494700,15031039,unk, , , 
50768,2,1962,Waiau River,1331081,Dunton Creek,797.49,,Dunton Creek,,240,180,unk,d42,2108800,5548400,15012115,unk,,,
835,3,1966,Mataura River,1331019,Eyre Creek,775.87, ,Eyre Creek, ,270,191,niwa,e43,2162900,5512900,15023830,ef,1, , 
50822,5,1972,Waiau River,1331062,Dean Burn,797.31, ,Motu Stream, ,80,41,niwa,d45,2096500,5460400,15044936,ef,1, , 
50823,5,1972,Waiau River,1331059,Moss Burn Waiau River,797.301,1545,Moss Burn tributary, ,80,40,niwa,d45,2093800,5454700,15047105,ef,1, , 
50825,3,1972,Waiau River,1331059,Moss Burn Waiau River,797.301, ,Moss Burn, ,90,41,niwa,d45,2093000,5454500,15047064,ef,1, , 
4371,4,1979,Waiau River,1331066,Excelsior Creek,797.4, ,Excelsior Creek, ,210,96,slfg,d44,2097000,5496000,15030605,ef,0, , 
4373,4,1979,Aparima River,1331052,Hamilton Burn,789.6,1100,Hamilton Burn, ,370,127,slfg,d44,2127500,5495000,15031280,ef,1, , 
4403,10,1979,Waiau River,1331065,Ligar Creek,797.361,1645,Ligar Creek, ,130,67,slfg,d44,2094000,5477400,15037818,ef,1, , 
4406,4,1979,Aparima River,1331053,Braxton Burn,789.602,1500,Braxton Burn, ,310,120,slfg,d44,2129400,5489300,15033266,ef,1, , 
4435,12,1980,Waiau River,1331076,Wash Creek,797.42,1545,Wash Creek,,410,141,slfg,d43,2123200,5513800,15023437,ef,1,,
4445,12,1980,Oreti River,1331030,Weydon Burn,786.92,1130,Weydon Burn, ,430,161,slfg,d43,2124900,5504300,15027310,ef,0, , 
108147,12,1980,Oreti River,1331030,Weydon Burn,786.92, ,Weydon Burn, ,389,153,slfg,D43,2128300,5503800,15027536,ef, , ,200
3659,1,1981,Waiau River,1331066,Excelsior Creek,797.4,,Excelsior Creek tributary,,340,102,niwa,d44,2101300,5496900,15030145,han,,,1
3660,1,1981,Waiau River,1331066,Excelsior Creek,797.4,,Excelsior Creek tributary,,390,105,niwa,d44,2103500,5497700,15029882,han,,,1
4401,2,1981,Oreti River,1331033,Irthing Stream,786.9,1530,Irthing Stream, ,230,122,slfg,e44,2153300,5495900,15030612,ef,2, , 
4429,3,1982,Aparima River,1331054,Kowhai Creek,789,1000,Kowhai Creek,,420,111,slfg,d44,2125100,5482500,15036073,ef,1,,
4442,4,1982,Oreti River,1331028,Oreti River upper,786.96,1330,Hidden Burn, ,630,192,slfg,e42,2137200,5534600,15015689,efm,1, , 
4443,4,1982,Oreti River,1331040,Gorge Burn,786.96,1445,Gorge Burn, ,650,193,slfg,e42,2138000,5534200,15015815,efm,1, , 
108067,9,1982,Aparima River,1331057,North Etal Creek,789.65, ,North Etal Creek, ,389,110,slfg,D44,2123600,5484000,15035461,ef, , ,120
108253,9,1982,Aparima River,1331054,Kowhai Creek,789,,Kowhai Creek,,452,110,slfg,D44,2125129,5482492,15035834,ef,,,60
1588,1,1985,Aparima River,1331052,Hamilton Burn,789.6,1030,Hamilton Burn, ,350,124,slfg,d44,2129600,5493900,15031261,ef,2, , 
