Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
15329,1,1996,Clutha River,1351007,Unnamed stream Lake Onslow 2,752.47,,Lake Onslow tributary,,700,157,indm,g43,2245100,5513300,14050639,pun,,,1
15909,5,1996,Clutha River,1351003,Teviot River tributary 1,752.47,1130,Teviot River tributary,,650,147,doco,g43,2238500,5510500,14051050,efp,1,,15
15910,5,1996,Clutha River,1351005,Teviot River tributary 3,752.47,1215,Teviot River tributary,,690,147,doco,g43,2239300,5511000,14051348,efp,1,,20
15911,5,1996,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,1430,Lake Onslow tributary,,720,152,doco,g43,2244100,5512200,14051097,efp,1,,30
17705,1,1998,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,1800,Lake Onslow tributary,,700,152,niwa,g43,2244200,5512200,14051097,han,,,50
25001,4,2000,Taieri River,1351001,Red Swamp Creek,743.94,1530,Red Swamp Creek,,910,274,doco,h43,2255200,5508500,14052131,efp,1,,10
25002,4,2000,Taieri River,1351001,Red Swamp Creek,743.94,1640,Red Swamp Creek,,920,275,doco,h43,2254700,5508600,14052131,efp,1,,20
25229,4,2001,Clutha River,1351005,Teviot River tributary 3,752.47,,Teviot River tributary,,690,148,doco,g43,2239900,5510600,14051337,efp,1,,71
25230,4,2001,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,,Lake Onslow tributary,,685,152,doco,g43,2244100,5512200,14051097,efp,1,,116
25231,4,2001,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,,Lake Onslow tributary,,760,153,doco,g43,2243700,5513100,14050818,efp,1,,41
109953,5,2004,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,,Lake Onslow tributary,,726,160,doco,G43,2244039,5512121,14051097,efp,,,
26523,4,2005,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,,Lake Onslow tributary,,700,152,doco,g43,2244000,5512100,14051097,efp,3,,
108302,4,2006,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,930,Lake Onslow tributary,,726,160,doco,G43,2244039,5512121,14051097,efp,,,
109944,4,2006,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,952,Lake Onslow tributary,,726,160,doco,G43,2244141,5512244,14051097,efp,,,
109945,4,2007,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,1045,Lake Onslow tributary,,726,160,doco,G43,2244141,5512244,14051097,efp,,,
109955,4,2007,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,1240,Lake Onslow tributary,,726,160,doco,G43,2244039,5512121,14051097,efp,,,
109946,4,2008,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,,Lake Onslow tributary,,726,160,doco,G43,2244141,5512244,14051097,efp,,,
109956,4,2008,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,,Lake Onslow tributary,,726,160,doco,G43,2244039,5512121,14051097,efp,,,
109947,4,2009,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,1130,Lake Onslow tributary,,726,160,doco,G43,2244141,5512244,14051097,efp,,,
109957,4,2009,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,1230,Lake Onslow tributary,,726,160,doco,G43,2244039,5512121,14051097,efp,,,
101389,2,2010,Clutha River,1351006,Unnamed stream Lake Onslow 1,752.47,1645,Lake Onslow tributary,,695,160,niwa,I40,2244000,5512080,14051097,efp,1,,30
