Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
55274,6,1924,Hihiwera Stream,1481073,Hihiwera Stream,364.001,,Hihiwera Stream,,30,1,unk,P20,2584000,6194600,6010312,unk,,,
391,7,1939,Manawatu River,1481052,Mangahao River tributary,325.19,,Mangahao River tributary,,70,115,unk,T24,2750800,6087500,7040220,unk,,,
55648,6,1949,Ruamahanga River,1481005,Ruamahanga River tributary 1,292,,Ruamahanga River tributary,,40,13,unk,S27,2694500,5981100,9015911,unk,,,
50279,3,1954,Hokitika River,1481084,Hokitika River tributary,906,,Hokitika River tributary,,10,2,unk,J32,2343700,5830200,12033242,obs,,,1
55305,5,1954,Waitohu Stream,1481036,Unnamed wetland Waitohu Stream,319,,Unnamed wetland,,20,7,unk,S25,2692300,6050500,0,han,,,1
55624,2,1958,Ruamahanga River,1481006,Rangatea Swamp,292.08,,Rangatea Swamp,,5,19,unk,S27,2698100,5986800,9014795,unk,,,
116,12,1965,Grey River,1481111,Unnamed wetland Grey River tributary,914.01,,Unnamed wetland,,10,7,niwa,J32,2362800,5857100,0,unk,,,
385,6,1965,Ruamahanga River,1481013,Kaipaitangata Stream,292.243,day,Kaipaitangata Stream,,75,85,niwa,S26,2718500,6017600,9007641,ef,1,,
50236,12,1965,Serpentine Creek,1481103,Serpentine Creek,910.5,,Serpentine Creek,,40,3,niwa,j32,2356700,5844100,12030872,unk,,,
50249,10,1965,Serpentine Creek,1481103,Serpentine Creek,910.5,,Serpentine Creek,,40,3,niwa,j32,2356700,5844100,12030872,ef,0,,
50264,5,1965,Serpentine Creek,1481102,Serpentine Creek tributary,910.5, ,Serpentine Creek tributary, ,50,4,niwa,j32,2357700,5844200,12030842,ef,2, , 
55596,2,1965,Ruamahanga River,1481009,Unnamed wetland Lake Wairarapa,292.06, ,Unnamed pond, ,3,34,niwa,s27,2704400,5999900,0,ef,1, , 
55757,3,1965,Ruamahanga River,1481026,Unnamed wetland Ruamahanga River tributary 7,292,day,Ruamahanga River tributary,,120,106,niwa,T26,2732100,6024700,9006297,ef,1,,
55760,1,1965,Waitohu Stream,1481036,Unnamed wetland Waitohu Stream,319, ,Ngatotara Lagoon, ,15,7,niwa,s25,2691900,6050300,9000330,nfc, , , 
85,10,1966,Duffers Creek,1481082,Unnamed wetland Duffers Creek,900,day,Duffers Creek tributary,,70,8,niwa,I34,2318900,5794700,,ef,1,,
50246,10,1966,Serpentine Creek,1481102,Serpentine Creek tributary,910.5, ,Unnamed wetland, ,50,4,niwa,j32,2357700,5844200,0,ef,1, , 
50247,10,1966,Serpentine Creek,1481102,Serpentine Creek tributary,910.5, ,Serpentine Creek tributary, ,50,4,niwa,j32,2357700,5844200,12030882,ef,1, , 
50248,10,1966,Serpentine Creek,1481102,Serpentine Creek tributary,910.5,day,Unnamed wetland,,50,4,niwa,J32,2357700,5844200,0,obs,,,1
50338,10,1966,Whataroa River,1481079,Gunn Creek,893.1,day,Gunn Creek tributary,,50,24,niwa,I34,2302800,5775400,12041221,ef,1,,
55300,4,1966,Manawatu River,1481046,Unnamed wetland Manawatu River 6,325.03,,Unnamed wetland,,20,31,unk,S25,2706800,6065500,7045508,unk,,,
55666,10,1966,Ruamahanga River,1481016,Unnamed wetland Ruamahanga River tributary 5,292.243,night,Unnamed wetland,,60,92,niwa,S26,2719786,6023095,0,spo,,,
50011,3,1967,Oparara River,1481125,Unnamed wetland Oparara River,952,,Unnamed wetland,,3,1,niwa,L27,2435600,6000300,12002526,oth,,,
50059,3,1967,Jones Creek,1481122,Unnamed wetland Jones Creek,937,day,Unnamed wetland,,5,2,niwa,L29,2410700,5948300,12008136,ef,1,,
50067,3,1967,Buller River,1481120,Unnamed wetland Bradshaws Creek,932.005,day,Unnamed wetland,,10,9,niwa,K29,2387500,5937500,12010452,ef,1,,
50263,3,1967,Serpentine Creek,1481104,Unnamed wetland Serpentine Creek tributary,910.5,,Serpentine Creek tributary,,80,7,niwa,J32,2359300,5841500,12030895,obs,,,2
50889,3,1967,Kapitea Creek,1481099,Unnamed wetland Kapitea Creek 2,910,day,Unnamed wetland,,110,10,niwa,J32,2360300,5837900,12031990,ef,1,,
50895,3,1967,Shearer Swamp,1481083,Shearer Swamp,902,,Shearer Swamp,,5,4,niwa,I33,2326800,5808200,12036746,ef,1,,
55285,5,1967,Patea River,1481062,Patea River tributary 1,342,,Patea River tributary,,2,4,unk,Q21,2636200,6161100,6015590,unk,,,
55686,2,1967,Ruamahanga River,1481016,Unnamed wetland Ruamahanga River tributary 5,292.243, ,Enaki Stream tributary, ,140,92,niwa,s26,2720100,6022800,9006747,ef,1, , 
104,12,1969,Pukepuke Lagoon,1481053,Unnamed wetland Pukepuke Lagoon,326,,Pukepuke Lagoon,,5,4,unk,S24,2702300,6093700,7038899,unk,,,
55301,1,1969,Waiwiri Stream,1481037,Lake Papaitonga wetlands,322, ,Lake Papaitonga, ,15,6,unk,s25,2698300,6060000,7046932,unk, , , 
777,1,1971,Pukepuke Lagoon,1481053,Unnamed wetland Pukepuke Lagoon,326,,Pukepuke Lagoon,,5,4,docz,S24,2702300,6093700,7038899,unk,,,
140,2,1972,Pukepuke Lagoon,1481053,Unnamed wetland Pukepuke Lagoon,326, ,Pukepuke Lagoon, ,5,4,unk,s24,2702300,6093700,7038899,unk, , , 
3198,8,1973,Duffers Creek,1481082,Unnamed wetland Duffers Creek,900, ,Duffers Creek, ,70,8,niwa,i34,2318900,5794700,12038139,han, , ,2
50253,8,1973,Taramakau River,1481105,Unnamed wetland Taramakau River 1,911,day,Unnamed wetland,,60,9,niwa,J32,2359500,5842800,0,obs,,,1
55454,1,1974,Ruamahanga River,1481017,Unnamed spring Ruamahanga River tributary,292.243,,Unnamed spring,,65,84,niwa,S26,2718200,6016400,9008120,pun,,,2
343,9,1976,Manawatu River,1481043,Unnamed wetland Manawatu River 4,325,,Unnamed wetland,,3,7,unk,S24,2701800,6075600,7042915,fyn,,,1
126,1,1977,Ruamahanga River,1481004,Unnamed wetland Lake Pounui tributary,292.02,,Lake Pounui tributary,,15,10,niwa,R27,2686400,5982300,9015672,unk,,,
132,4,1977,Ruamahanga River,1481003,Unnamed wetland Ruamahanga River 2,292.02,,Unnamed wetland,,10,8,unk,R27,2687700,5982200,0,unk,,,
157,12,1977,Buller River,1481120,Unnamed wetland Bradshaws Creek,932.005,,Unnamed wetland,,10,9,niwa,k29,2387500,5937700,0,efm,1,,
3077,10,1977,Okarito River,1481077,Unnamed wetland Okarito Lagoon,891.01,1530,Okarito Lagoon tributary, ,3,4,niwa,h34,2283000,5772000,12041646,ef,1, , 
77,4,1978,Otakeho Stream,1481072,Otakeho Stream,356,,Otakeho Stream,,50,3,niwa,P21,2600700,6183900,,unk,,,
178,2,1978,Hokitika River,1481089,Unnamed wetland Kaniere River,906.01,810,Stony Creek, ,30,11,niwa,j33,2349800,5826800,12033688,efm,1, , 
2894,6,1979,Otakeho Stream,1481072,Otakeho Stream,356,1500,Otakeho Stream, ,50,3,niwa,p21,2600700,6183900,6012072,efm,1, , 
