Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
122,1,1975,Selwyn River,1491036,Hororata River tributary 2,680.04,,Unnamed wetland,,140,65,niwa,L36,2432300,5735300,0,unk,,,
828,10,1966,Hinds River,1491091,Hinds River North Branch tributary wetland 1,691.01,day,North Branch Hinds River tributary,,420,59,niwa,K36,2375900,5721500,13051658,ef,1,,
830,10,1966,Hinds River,1491090,Hinds River North Branch tributary 1,691.02,day,South Branch Hinds River tributary,,360,53,niwa,K36,2379100,5717000,13053653,ef,1,,
1026,7,1978,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream tributary, ,270,87,niwa,l35,2431100,5752900,13042506,fyn, , ,1
1027,7,1978,Selwyn River,1491045,Blacks Stream,680.05,night,Blacks Stream,,255,86,niwa,L35,2430900,5751800,13043304,ntc,,,
1028,7,1978,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream, ,270,87,niwa,l35,2430700,5753100,13042661,fyn, , ,1
1029,7,1978,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream pond, ,270,87,niwa,l35,2431000,5752900,13042951,fyn, , ,1
2123,10,1988,Pareora River,1491105,Taiko Stream (Translocation),701,1000,Unnamed pond,,160,32,scfg,J38,2353100,5651300,0,han,,,2
2527,5,1965,Waimakariri River,1491006,North Brook tributary,664.042, ,Cam River, ,25,18,niwa,m35,2478800,5767200,13038426,ef,1, , 
3417,,,Morven Drain,1491125,Unnamed stream Morven 3,710.01,,Unnamed pond,,30,8,unk,J40,2358300,5596900,0,unk,,,
3630,4,1987,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,1400,Horseshoe Bend Stream, ,8,5,niwa,j39,2362300,5621800,13067617,pun, , ,5
3634,11,1987,Pareora River,1491105,Taiko Stream (Translocation),701.04,1500,Taiko Stream,,130,30,niwa,J38,2354800,5650500,13065567,pun,,,2
3635,11,1987,Washdyke Creek,1491099,Papaka Stream tributary 2,698.02,900,Papaka Stream,,40,14,niwa,J38,2363500,5654300,13065232,pun,,,3
3636,11,1987,Washdyke Creek,1491098,Papaka Stream tributary 1,698.02,1200,Papaka Stream,,35,13,niwa,J38,2364400,5654400,13065260,obs,,,1
3663,6,1981,Selwyn River,1491036,Hororata River tributary 2,680.04,1100,Hororata River,,140,65,niwa,L36,2432100,5735000,13048284,han,,,4
3674,2,1982,Selwyn River,1491036,Hororata River tributary 2,680.04,1000,Hororata River,,140,64,niwa,L36,2432300,5735000,13048284,pun,,,2
3675,2,1982,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1400,Mounseys Stream tributary,,310,65,niwa,L35,2435000,5768300,13038152,pun,,,2
4351,2,1982,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream, ,255,86,niwa,l35,2430900,5751800,13043304,han, , ,1
5052,10,1982,Pareora River,1491105,Taiko Stream (Translocation),701, ,Unnamed pond, ,160,32,niwa,j38,2353100,5651300,0,fyn, , ,1
5058,10,1982,Longbeach,1491078,Unnamed water race Grahams Road 3,690,night,Unnamed stream Beachcroft,,25,3,niwa,K37,2405800,5680900,13061140,fyn,,,2
5652,10,1983,Longbeach,1491078,Unnamed water race Grahams Road 3,690, ,Unnamed stream Beachcroft, ,25,3,niwa,k37,2405800,5680900,13061140,obs, , ,1
5660,10,1983,Pareora River,1491105,Taiko Stream (Translocation),701,1200,Unnamed pond,,160,32,niwa,J38,2353100,5651300,0,han,,,1
5662,10,1983,St Andrews,1491106,Unnamed stream St Andrews,702,day,Unnamed stream St Andrews,,5,0,niwa,J39,2367000,5631200,13066994,han,,,50
5669,1,1984,Selwyn River,1491036,Hororata River tributary 2,680.04,night,Hororata River,,140,65,niwa,L36,2432100,5735100,13048252,ncn,,,
5929,5,1974,Waimate Creek,1491120,Waituna Stream ponds,708,,Unnamed pond,,40,15,niwa,J40,2356400,5607600,0,han,,,1
6634,8,1984,Selwyn River,1491060,Glendore Stream,680.08,1030,Steventon Stream,,360,90,niwa,l35,2416600,5750800,13043644,ef,0,,
6635,8,1984,Selwyn River,1491060,Glendore Stream,680.08,,Steventon Stream pond,,330,89,niwa,l35,2417300,5750400,0,ef,0,,
6639,10,1984,Morven Drain,1491126,Dog Kennel Stream,710.02,1300,Dog Kennel Stream,,80,14,niwa,J40,2354400,5592800,13069326,han,,,2
6640,10,1984,Pareora River,1491105,Taiko Stream (Translocation),701.04,1045,Taiko Stream, ,130,30,niwa,j38,2354900,5650500,13065567,pun, , ,1
6641,10,1984,Pareora River,1491105,Taiko Stream (Translocation),701.04,1100,Unnamed pond,,160,32,niwa,J38,2353100,5651300,0,fyn,,,2
6643,10,1984,Selwyn River,1491032,Selwyn River tributary 2,680,,Selwyn River ponds,,50,38,niwa,M36,2451200,5727100,13050383,han,,,1
7658,4,1984,Selwyn River,1491033,Selwyn River tributary 3,680,1600,Selwyn River tributary,,110,54,indm,L36,2438900,5732200,0,obs,,,1
7745,4,1986,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05,1400,Peacock Springs, ,40,22,niwa,m35,2470800,5749100,13044260,efm,1, , 
7749,5,1986,Avon River,1491028,Christchurch Botanical Gardens (Translocation),666,night,Unnamed pond,,5,17,niwa,M35,2479400,5741900,0,gmt,,,360
9981,7,1988,Selwyn River,1491036,Hororata River tributary 2,680.04,,Hororata River oxbow,,140,65,niwa,L36,2432100,5735300,0,ntc,,,
9982,7,1988,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,,Mounseys Stream tributary,,310,65,niwa,L35,2435000,5768300,13038152,efp,,,
9994,4,1989,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05,night,Peacock Springs,,40,22,niwa,M35,2470700,5749100,13044260,nfc,,,1000
9997,11,1989,Selwyn River,1491060,Glendore Stream,680.08,1000,Unnamed wetland,,320,89,niwa,L35,2417800,5749900,0,efp,,,
9998,11,1989,Selwyn River,1491060,Glendore Stream,680.08,1400,Unnamed wetland, ,330,89,niwa,l35,2417600,5750400,0,efp,1, , 
10277,9,1989,Pareora River,1491105,Taiko Stream (Translocation),701.04,1020,Taiko Stream,,160,32,docc,J38,2352800,5651300,13065502,han,,,18
10278,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702,845,Unnamed stream St Andrews,,5,1,docc,J39,2366600,5630800,13067019,gmt,,,1
