Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
55001,10,1929,Houhora Harbour,1501008,Unnamed wetland Waihopo Stream,8.05,,Waihopo Stream,,20,3,unk,N03,2516200,6716800,1001300,unk,,,
55699,1,1958,Waihou River,1501040,Ohinemuri River tributary,92.157,,Ohinemuri River tributary,,80,74,unk,T13,2762800,6419400,3009973,obs,,,1
733,3,1965,Home Creek,1501010,Unnamed drain Home Creek 1,11,day,Unnamed wetland,,10,5,niwa,N04,2528500,6694000,1002121,efm,1,,
2570,3,1965,Wairoa River,1501083,Taita Stream tributary,466.04,day,Taita Stream tributary,,5,45,niwa,P07,2579300,6594000,1020807,ef,1,,
2584,3,1965,Wairoa River,1501090,Wairua River tributary 3,466,day,Unnamed wetland,,90,137,niwa,Q06,2623900,6626600,1014275,ef,,,
2594,3,1965,Waikato River,1501070,Waipa River tributary 5,434.22,day,Waipa River tributary,,40,153,niwa,S15,2704400,6360900,0,ef,1,,
55003,3,1965,Home Creek,1501012,Unnamed drain Home Creek 2,11,,Unnamed wetland,,30,7,unk,N04,2527500,6694000,1002145,unk,,,
55702,1,1965,Awanui River,1501022,Pukepoto Stream,13,day,Pukepoto Stream,,30,21,niwa,O04,2531300,6671800,1005053,ef,1,,
55703,1,1965,Awanui River,1501022,Pukepoto Stream,13,day,Pukepoto Stream,,30,21,niwa,O04,2531300,6671800,1005053,ef,1,,
136,1,1966,Wairoa River,1501089,Wairua River tributary 2,466,day,Unnamed wetland,,90,133,niwa,Q06,2623400,6623900,0,han,,,1
734,1,1966,Home Creek,1501014,Unnamed wetland Home Creek 4,11, ,Lake Waiparera, ,30,8,niwa,n04,2525900,6695000,1002077,efp,1, , 
55057,7,1966,Waikato River,1501048,Pungarehu Stream tributary,434.13,,Whangamarino Swamp,,8,65,niwa,S13,2704900,6420900,3007556,unk,,,
55700,2,1966,Home Creek,1501011,Unnamed wetland Home Creek 2,11,,Unnamed wetland,,15,5,niwa,N04,2529100,6694700,1002078,han,,,2
55704,2,1966,Awanui River,1501022,Pukepoto Stream,13,,Pukepoto Stream tributary,,15,22,niwa,O04,2530100,6671300,1004819,unk,,,
55709,2,1966,Lake Ohia,1501026,Unnamed wetland Aurere Stream,15, ,Unnamed lake, ,0,4,niwa,o04,2545900,6694400,1002038,unn, , , 
