Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50050,11,1958,Buller River,1131016,Five Mile Creek,932.42,,Five Mile Creek,,490,173,unk,L31,2448600,5871600,12025909,han,,,1
50158,8,1961,Grey River,1131071,Waipuna Creek,914.3, ,Waipuna Creek, ,115,59,niwa,k31,2403100,5876700,12024814,unk, , , 
50172,8,1961,Grey River,1131074,Clarke River,914.32,,Clarke River,,180,75,niwa,L31,2414300,5870400,12026205,unk,,,
50240,2,1963,Hokitika River,1131080,Duck Creek,906.04, ,Duck Creek, ,20,17,unk,j33,2349200,5817600,12035323,unk, , , 
2529,5,1965,Buller River,1131017,Mariua River 4,932.42,day,Maruia River,,550,180,niwa,M31,2453300,5869500,12026371,ef,1,,
2530,5,1965,Buller River,1131017,Mariua River 4,932.42, ,Maruia River tributary, ,550,178,niwa,m31,2452200,5869300,12026437,ef,1, , 
2531,5,1965,Buller River,1131017,Mariua River 4,932.429,day,One Mile Creek,,560,180,niwa,M31,2453300,5869400,12026392,ef,1,,
50176,10,1965,Buller River,1131017,Mariua River 4,932.42,day,Maruia River,,550,179,niwa,M31,2452800,5869700,12026352,ef,1,,
50178,8,1965,Buller River,1131017,Mariua River 4,932.42, ,Maruia River, ,570,181,niwa,m31,2454600,5869700,12026362,unk, , , 
50179,3,1965,Buller River,1131017,Mariua River 4,932.42,day,Maruia River,,550,179,niwa,M31,2453300,5869600,12026371,ef,2,,
50183,10,1965,Buller River,1131017,Mariua River 4,932.42,day,Maruia River tributary,,550,178,niwa,M31,2452200,5869200,12026437,ef,1,,
50185,8,1965,Buller River,1131017,Mariua River 4,932.429,,One Mile Creek,,550,180,niwa,M31,2453400,5869500,12026392,unk,,,
50187,10,1965,Buller River,1131017,Mariua River 4,932.429,day,One Mile Creek,,560,180,niwa,M31,2453400,5869400,12026392,ef,1,,
84,3,1966,Grey River,1131033,Petrel Creek,914.067,day,Petrel Creek,,90,56,niwa,K32,2381200,5838600,,ef,1,,
50882,3,1966,Grey River,1131032,Orangipuku River tributary,914.067,day,Orangipuku River tributary,,130,65,niwa,K33,2383200,5829900,12033213,ef,1,,
50177,3,1967,Buller River,1131017,Mariua River 4,932.42,day,Maruia River,,570,181,niwa,M31,2454600,5869700,12026362,ef,1,,
50062,2,1972,Buller River,1131024,Station Creek,932.55,,Fraser Gully,,430,150,niwa,M29,2485900,5944600,12008819,ef,1,,
50063,2,1972,Buller River,1131025,Howard River,932.56,,Howard River,,410,150,niwa,M29,2483800,5941700,12009423,ef,1,,
50079,2,1972,Buller River,1131025,Howard River,932.561, ,Maud Creek, ,430,151,niwa,m29,2484500,5941000,12009424,ef,1, , 
50111,5,1972,Grey River,1131066,Dirty Mary Creek,914.299, ,Sleeper Creek, ,210,83,unk,k30,2407200,5900000,12019505,ef,1, , 
50114,5,1972,Buller River,1131005,Rappahannock River,932.428,day,Diamond Creek,,390,148,niwa,M30,2451800,5900500,12019677,ef,1,,
50117,12,1972,Buller River,1131003,Station Creek (Waitahu River),932.296,day,Station Creek,,270,101,niwa,L30,2423800,5896800,12020498,ef,1,,
50139,12,1972,Buller River,1131009,Woolley River,932.42,day,Woolley River,,350,151,niwa,L31,2445200,5889000,12022270,ef,1,,
50140,5,1972,Buller River,1131009,Woolley River,932.42, ,Woolley River, ,350,151,niwa,l31,2445200,5889000,12022420,ef,1, , 
50141,12,1972,Buller River,1131008,Diggers Creek,932.42,day,Diggers Creek,,390,155,niwa,L31,2449600,5888900,12022493,ef,1,,
50145,12,1972,Grey River,1131057,Red Jack Creek,914.293,day,Red Jack Creek,,150,66,niwa,K31,2406200,5884400,12023378,ef,1,,
50147,5,1972,Grey River,1131056,Blackwater River,914.293, ,Blackwater River, ,120,60,unk,k31,2402600,5884400,12023322,ef,1, , 
50148,5,1972,Grey River,1131053,Craigieburn Creek,914.27,day,Craigieburn Creek,,100,50,niwa,K31,2394000,5881000,12023984,ef,1,,
50150,5,1972,Grey River,1131053,Craigieburn Creek,914.27,day,Maiden Creek,,100,49,unk,K31,2394200,5879800,12024191,ef,1,,
50155,5,1972,Grey River,1131040,Moonlight Creek,914.17,,McCarthy Creek,,180,44,unk,k31,2382100,5878500,12024491,ef,1,,
50157,5,1972,Grey River,1131049,Duffers Creek lower,914.26,,Duffers Creek,,70,46,niwa,K31,2393800,5876600,12024859,unk,,,
50159,5,1972,Grey River,1131071,Waipuna Creek,914.3,day,Waipuna Creek,,115,59,niwa,K31,2403100,5876700,12024814,ef,1,,
50160,11,1972,Grey River,1131071,Waipuna Creek,914.3,day,Waipuna Creek,,115,59,niwa,K31,2403100,5876700,12024814,ef,1,,
50164,5,1972,Grey River,1131052,Duffers Creek,914.26,,Half Ounce Creek,,120,52,unk,K31,2398700,5875700,12025055,ef,1,,
50171,5,1972,Grey River,1131073,Allan Water,914,day,Allan Water,,190,72,niwa,L31,2411500,5870400,12026002,ef,1,,
50188,5,1972,Grey River,1131038,Nelson Creek upper,914.15,day,Nelson Creek,,150,47,niwa,K32,2393400,5859300,12028273,ef,1,,
50213,5,1972,Grey River,1131034,Red Jacks Creek,914.13, ,Dead Horse Creek, ,130,39,unk,k31,2389200,5860200,12028070,ef,1, , 
50214,5,1972,Grey River,1131034,Red Jacks Creek,914.13,,Wallaby Creek,,130,39,unk,k31,2388700,5860100,12028077,ef,1,,
50215,5,1972,Grey River,1131068,Jacks Creek,914.29,day,Jacks Creek,,215,84,niwa,K30,2408100,5901100,12019646,ef,1,,
3191,8,1973,Grey River,1131034,Red Jacks Creek,914.13,,Red Jacks Creek,,40,27,niwa,K31,2381300,5865900,12027103,han,,,2
50175,8,1973,Buller River,1131017,Mariua River 4,932.42, ,Maruia River, ,580,182,niwa,m31,2455200,5869900,12026297,unk, , , 
5913,3,1974,Buller River,1131017,Mariua River 4,932.42, ,Maruia River, ,550,180,niwa,m31,2453400,5869500,12026371,han, , ,3
5921,5,1974,Buller River,1131021,Gowan River,932.52,,Gowan River,,420,142,niwa,M29,2475500,5938200,12010101,han,,,1
50085,5,1974,Buller River,1131022,McCaa Stream,932.521,,Lake Rotoroa,,450,147,unk,M29,2476800,5934400,12011016,unk,,,
2640,10,1975,Grey River,1131059,Rough and Tumble Creek,914.295, ,Rough and Tumble Creek, ,190,70,niwa,k30,2402700,5891100,12020748,ef,1, , 
2644,10,1975,Grey River,1131040,Moonlight Creek,914.17, ,Moonlight Creek, ,100,42,niwa,k31,2382800,5877300,12024601,ef,1, , 
2645,10,1975,Grey River,1131040,Moonlight Creek,914.17, ,Shellback Creek, ,60,35,niwa,k31,2384100,5873300,12025546,ef,1, , 
2646,10,1975,Grey River,1131040,Moonlight Creek,914.17, ,Moonlight Creek tributary, ,120,42,niwa,k31,2382800,5877300,0,ef,1, , 
2647,10,1975,Grey River,1131040,Moonlight Creek,914.17, ,Moonlight Creek tributary, ,120,42,niwa,k31,2382800,5877300,0,ef,1, , 
2648,10,1975,Grey River,1131040,Moonlight Creek,914.17,,Garden Creek,,150,44,niwa,k31,2382800,5879000,12024248,ef,1,,
2649,10,1975,Grey River,1131040,Moonlight Creek,914.17,,Garden Creek tributary,,220,45,niwa,k31,2382300,5879900,12024183,ef,1,,
2651,10,1975,Grey River,1131052,Duffers Creek,914.26,day,Sullivan Creek,,150,54,niwa,K31,2399700,5875100,12025169,ef,1,,
2652,10,1975,Grey River,1131052,Duffers Creek,914.26,day,Duffers Creek,,150,54,niwa,K31,2400100,5875400,12025146,ef,1,,
2653,10,1975,Grey River,1131052,Duffers Creek,914.26, ,Unnamed wetland, ,150,54,niwa,k31,2400100,5875200,0,ef,0, , 
2656,10,1975,Grey River,1131052,Duffers Creek,914.26,,Duffers Creek tributary,,120,52,niwa,k31,2398100,5876100,0,ef,1,,
2657,10,1975,Grey River,1131049,Duffers Creek lower,914.26, ,Duffers Creek, ,70,46,niwa,k31,2393800,5876600,12024859,ef,1, , 
2658,10,1975,Grey River,1131049,Duffers Creek lower,914.26,day,Duffers Creek tributary,,70,46,niwa,K31,2394100,5876700,12024849,ef,1,,
2659,10,1975,Grey River,1131046,Orwell Creek,914.2,,Orwell Creek,,160,49,niwa,k31,2399000,5870700,12026105,ef,1,,
2670,10,1975,Grey River,1131075,Alexander River,914.35, ,Alexander River, ,300,86,niwa,l31,2421000,5874400,12025300,ef,1, , 
2671,10,1975,Grey River,1131075,Alexander River,914.35,,Alexander River tributary,,310,86,niwa,l31,2421400,5874500,12025305,ef,1,,
2702,10,1975,Grey River,1131064,Maimai Creek,914.298,day,Maimai Creek,,180,78,niwa,K30,2407500,5896000,12020750,ef,1,,
2704,10,1975,Grey River,1131057,Red Jack Creek,914.293,day,Red Jack Creek tributary,,160,67,niwa,K31,2406400,5884000,12023463,ef,1,,
2705,10,1975,Grey River,1131057,Red Jack Creek,914.293,day,Red Jack Creek,,150,67,niwa,K31,2406200,5883900,12023462,ef,1,,
2732,10,1975,Buller River,1131004,Glengary Stream,932.421,day,Glengarry Stream,,190,99,niwa,L29,2445700,5928600,12012800,ef,1,,
2733,10,1975,Buller River,1131004,Glengary Stream,932.421, ,Glengarry Stream tributary, ,190,99,niwa,l29,2445700,5928600,12012731,ef,1, , 
50,12,1977,Buller River,1131024,Station Creek,932.55,day,Station Creek,,430,150,niwa,M29,2485900,5944300,,efm,1,,
168,2,1978,Grey River,1131066,Dirty Mary Creek,914.29,1005,Mawheraiti River,,200,82,niwa,K30,2407700,5899300,12020035,efm,1,,
169,2,1978,Grey River,1131056,Blackwater River,914.293,1300,Blackwater River, ,120,60,niwa,k31,2402600,5884400,12023322,efm,1, , 
170,2,1978,Grey River,1131049,Duffers Creek lower,914.26,1330,Duffers Creek tributary,,70,46,niwa,K31,2393900,5876700,12024849,efm,1,,
182,2,1978,Hokitika River,1131080,Duck Creek,906.04,1320,Duck Creek, ,25,19,niwa,j33,2350900,5816600,12035323,efm,1, , 
2780,12,1979,Hokitika River,1131084,Cunningham Creek,906.053, ,Cunningham Creek, ,50,27,ci,j33,2353200,5810500,12036339,ef,1, , 
3658,10,1980,Grey River,1131031,Bruce Creek,914.067,1300,Bruce Creek,,100,58,niwa,K32,2383400,5835700,12032303,obs,,,3
1555,8,1981,Grey River,1131028,Molloy Creek tributary,914.06,,Molloy Creek,,90,43,docy,k32,2384300,5849700,12030054,fyn,,,3
