Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
28569,4,2007,Oreti River,1271006,Gorge Burn,786.96,1630,Gorge Burn tributary,,650,193,doco,E42,2138053,5534234,15015828,efp,1,,40
28589,4,2007,Waiau River,1271007,Mararoa River lower,797.42,940,Mararoa River,,280,120,doco,D43,2109042,5505255,15026840,efp,1,,50
28593,4,2007,Waiau River,1271007,Mararoa River lower,797.42,1118,Mararoa River,,320,126,doco,D43,2114282,5507101,15026128,efp,1,,50
28599,4,2007,Waiau River,1271007,Mararoa River lower,797.42,1420,Mararoa River,,400,139,doco,D43,2122804,5513749,15023115,efp,1,,50
28600,4,2007,Waiau River,1271007,Mararoa River lower,797.42,1352,Mararoa River,,400,139,doco,D43,2122818,5513894,15023115,efp,1,,50
28601,4,2007,Waiau River,1271007,Mararoa River lower,797.42,1324,Mararoa River,,400,139,doco,D43,2122879,5513839,15023115,efp,1,,50
103713,10,2015,Oreti River,1271006,Gorge Burn,786.96,1647,Gorge Burn,,648,191,docc,E42,2138041,5534270,15015690,efp,1,,10
113248,11,2017,Waiau River,1271008,Mararoa River upper,797.42, ,Mararoa River, ,625,188,doco, ,2131772,5552407,15011240,efp,1, ,20
113951,5,2018,Waiau River,1271011,Moat Creek,797.421,1346,Moat Creek, ,434,135,doco,d43,2111999,5518355,15021692,efp,1, ,6
113988,5,2018,Mataura River,1271002,Mataura River,775, ,Mataura River, ,380,219,doco,e43,2164316,5525644,15018763,efp,1, ,18
117466,11,2019,Clutha River,1271013,Station Burn,752.746,1634,Station Burn, ,410,296,doco, ,2145690,5553379,14035113,efp,1, ,35
23336,12,2005,Oreti River,1271003,Oreti River,786,day,Oreti River,,285,136,uoo,E44,2139900,5494600,15031039,efp,1,,
106440,5,2006,Oreti River,1271003,Oreti River,786,,Oreti River,,290,134,unk,E47,2139875,5494685,15031016,efp,,,
113213,11,2017,Oreti River,1271003,Oreti River,786,1240,Oreti River, ,206,111,doco, ,2154122,5489276,15033079,efp,1, ,15
113250,11,2017,Oreti River,1271005,Ashton Burn,786.96, ,Ashton Burn, ,596,181,doco, ,2135600,5527444,15018068,efp,1, ,20
28594,4,2007,Waiau River,1271007,Mararoa River lower,797.42,1140,Mararoa River,,320,126,doco,D43,2114391,5507126,15026128,efp,1,,50
117468,11,2019,Clutha River,1271012,Von River,752.746,1800,Von River, ,389,294,doco, ,2146311,5555171,14034342,efp,1, ,20
