card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No
32843,,1926,Waimakariri River,1491009,Eyre River tributary 1,664.06
50622,2,1939,Ashburton River,1491069,Carters Creek tributary,688
50371,,1946,Waimakariri River,1491006,North Brook tributary,664.042
50647,5,1947,Longbeach,1491076,Unnamed water race Bells Road,690
50509,8,1962,Hinds River,1491083,Unnamed drain Maronan Valetta Road,691
50556,11,1962,Hinds River,1491088,North Branch Hinds River,691.01
32820,12,1964,Hinds River,1491090,Hinds River North Branch tributary 1,691.01
2527,5,1965,Waimakariri River,1491006,North Brook tributary,664.042
828,10,1966,Hinds River,1491091,Hinds River North Branch tributary wetland 1,691.01
830,10,1966,Hinds River,1491090,Hinds River North Branch tributary 1,691.02
32821,,1968,Hinds River,1491090,Hinds River North Branch tributary 1,691.01
32822,,1968,Washdyke Creek,1491095,Waitawa Creek,698
32823,,1968,Hook River,1491120,Waituna Stream ponds,707.01
32824,,1968,Hook River,1491120,Waituna Stream ponds,707
32825,,1968,Waihao River,1491122,Buchanans Creek,709.011
32826,,1968,Waitaki River,1491138,Waitaki River tributary 1,711
50395,2,1971,Woodend,1491004,Tutaepatu Lagoon,663
5929,5,1974,Waimate Creek,1491120,Waituna Stream ponds,708
122,1,1975,Selwyn River,1491036,Hororata River tributary 2,680.04
32827,,1975,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
32828,,1975,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
32829,,1975,Selwyn River,1491036,Hororata River tributary 2,680.04
32830,,1975,Selwyn River,1491036,Hororata River tributary 2,680.04
32831,,1975,Selwyn River,1491036,Hororata River tributary 2,680.04
32832,,1975,Hinds River,1491090,Hinds River North Branch tributary 1,691.01
32833,,1975,Hinds River,,Arundel Rakaia Gorge Road water race,691.01
32834,,1975,Hinds River,1491087,Hinds River tributary 3,691
32835,,1975,Hinds River,1491086,Hinds River tributary 2,691
32836,8,1975,Hinds River,1491085,Unnamed water race Barford Road,691
32837,,1975,Longbeach,1491078,Unnamed water race Grahams Road 3,690
32838,,1975,Washdyke Creek,1491096,Rosewill Stream,698.02
32839,6,1975,Waihao River,1491122,Buchanans Creek,709.011
32840,8,1975,Waihao River,1491122,Buchanans Creek,709.011
32842,,1975,Waitaki River,1491127,Whitneys Creek,711
50459,,1975,Waimakariri River,1491010,Coopers Creek tributary,664.062
50512,11,1975,Hinds River,1491091,Hinds River North Branch tributary wetland 1,691.01
50609,,1975,Hinds River,1491084,Hinds River tributary 1,691
50705,12,1975,Pareora River,1491102,Pareora River tributary 2,701
50711,12,1975,Pareora River,1491102,Pareora River tributary 2,701
50726,,1975,Hook River,1491120,Waituna Stream ponds,707.01
50740,,1975,Morven Drain,1491126,Dog Kennel Stream,710.02
50741,11,1975,Waitaki River,1491127,Whitneys Creek,711
100573,5,1975,Waihao River,1491122,Buchanans Creek,709.011
32841,5,1976,Waihao River,1491122,Buchanans Creek,709.011
50690,12,1976,Washdyke Creek,1491099,Papaka Stream tributary 2,698.02
50714,12,1976,St Andrews,1491106,Unnamed stream St Andrews,702
50715,5,1976,St Andrews,1491106,Unnamed stream St Andrews,702
50720,4,1976,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705
50721,12,1976,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705
50742,4,1976,Waitaki River,1491127,Whitneys Creek,711
50620,11,1977,Ashburton River,1491070,Ashburton River tributary 1,688
100574,5,1977,Waihao River,1491122,Buchanans Creek,709.011
1026,7,1978,Selwyn River,1491045,Blacks Stream,680.05
1027,7,1978,Selwyn River,1491045,Blacks Stream,680.05
1028,7,1978,Selwyn River,1491045,Blacks Stream,680.05
1029,7,1978,Selwyn River,1491045,Blacks Stream,680.05
3663,6,1981,Selwyn River,1491036,Hororata River tributary 2,680.04
3674,2,1982,Selwyn River,1491036,Hororata River tributary 2,680.04
3675,2,1982,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
4351,2,1982,Selwyn River,1491045,Blacks Stream,680.05
5052,10,1982,Pareora River,1491105,Taiko Stream (Translocation),701
5058,10,1982,Longbeach,1491078,Unnamed water race Grahams Road 3,690
5652,10,1983,Longbeach,1491078,Unnamed water race Grahams Road 3,690
5660,10,1983,Pareora River,1491105,Taiko Stream (Translocation),701
5662,10,1983,St Andrews,1491106,Unnamed stream St Andrews,702
5669,1,1984,Selwyn River,1491036,Hororata River tributary 2,680.04
6634,8,1984,Selwyn River,1491060,Glendore Stream,680.08
6635,8,1984,Selwyn River,1491060,Glendore Stream,680.08
6639,10,1984,Morven Drain,1491126,Dog Kennel Stream,710.02
6640,10,1984,Pareora River,1491105,Taiko Stream (Translocation),701.04
6641,10,1984,Pareora River,1491105,Taiko Stream (Translocation),701.04
6643,10,1984,Selwyn River,1491032,Selwyn River tributary 2,680
7658,4,1984,Selwyn River,1491033,Selwyn River tributary 3,680
7745,4,1986,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05
7749,5,1986,Avon River,1491028,Christchurch Botanical Gardens (Translocation),666
11367,12,1986,Selwyn River,1491033,Selwyn River tributary 3,680
11368,12,1986,Selwyn River,1491058,Selwyn River tributary 6,680
14907,12,1986,Lake Ellesmere,1491064,Ellesmere stockwater race and drainage network,683
100466,7,1986,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05
3630,4,1987,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705
3634,11,1987,Pareora River,1491105,Taiko Stream (Translocation),701.04
3635,11,1987,Washdyke Creek,1491099,Papaka Stream tributary 2,698.02
3636,11,1987,Washdyke Creek,1491098,Papaka Stream tributary 1,698.02
2123,10,1988,Pareora River,1491105,Taiko Stream (Translocation),701
9981,7,1988,Selwyn River,1491036,Hororata River tributary 2,680.04
9982,7,1988,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
9994,4,1989,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05
9997,11,1989,Selwyn River,1491060,Glendore Stream,680.08
9998,11,1989,Selwyn River,1491060,Glendore Stream,680.08
10277,9,1989,Pareora River,1491105,Taiko Stream (Translocation),701.04
10278,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702
10279,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702
10280,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702
10281,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702
10282,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702
10283,7,1990,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705
10284,7,1990,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705
10285,10,1990,Hook River,1491118,Waituna Stream,707.01
10286,10,1990,Morven Drain,1491126,Dog Kennel Stream,710.02
10287,11,1990,Morven Drain,1491126,Dog Kennel Stream,710.02
10288,11,1990,Morven Drain,1491126,Dog Kennel Stream,710.02
11339,4,1990,Selwyn River,1491047,Waianiwaniwa River,680.05
11340,4,1990,Selwyn River,1491048,Waianiwaniwa River tributary 2,680.05
10289,10,1991,Longbeach,1491077,Unnamed water race Tanseys Road,690
10290,10,1991,Longbeach,1491077,Unnamed water race Tanseys Road,690
10292,10,1993,Longbeach,1491072,Unnamed water race Fords Road,690
10293,10,1993,Longbeach,1491079,Unnamed water race Longbeach Road,690
10294,10,1993,Longbeach,1491077,Unnamed water race Tanseys Road,690
10295,10,1994,Opihi River,1491094,Rangatira Creek,696.024
11382,5,1994,Hinds River,1491084,Hinds River tributary 1,691
10296,5,1995,St Andrews,1491106,Unnamed stream St Andrews,702
