Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation
122,1,1975,Selwyn River,1491036,Hororata River tributary 2,680.04,,Unnamed wetland,,140,65,niwa
828,10,1966,Hinds River,1491091,Hinds River North Branch tributary wetland 1,691.01,day,North Branch Hinds River tributary,,420,59,niwa
830,10,1966,Hinds River,1491090,Hinds River North Branch tributary 1,691.02,day,South Branch Hinds River tributary,,360,53,niwa
1026,7,1978,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream tributary, ,270,87,niwa
1027,7,1978,Selwyn River,1491045,Blacks Stream,680.05,night,Blacks Stream,,255,86,niwa
1028,7,1978,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream, ,270,87,niwa
1029,7,1978,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream pond, ,270,87,niwa
2123,10,1988,Pareora River,1491105,Taiko Stream (Translocation),701,1000,Unnamed pond,,160,32,scfg
2527,5,1965,Waimakariri River,1491006,North Brook tributary,664.042, ,Cam River, ,25,18,niwa
3417,,,Morven Drain,1491125,Unnamed stream Morven 3,710.01,,Unnamed pond,,30,8,unk
3630,4,1987,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,1400,Horseshoe Bend Stream, ,8,5,niwa
3634,11,1987,Pareora River,1491105,Taiko Stream (Translocation),701.04,1500,Taiko Stream,,130,30,niwa
3635,11,1987,Washdyke Creek,1491099,Papaka Stream tributary 2,698.02,900,Papaka Stream,,40,14,niwa
3636,11,1987,Washdyke Creek,1491098,Papaka Stream tributary 1,698.02,1200,Papaka Stream,,35,13,niwa
3663,6,1981,Selwyn River,1491036,Hororata River tributary 2,680.04,1100,Hororata River,,140,65,niwa
3674,2,1982,Selwyn River,1491036,Hororata River tributary 2,680.04,1000,Hororata River,,140,64,niwa
3675,2,1982,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1400,Mounseys Stream tributary,,310,65,niwa
4351,2,1982,Selwyn River,1491045,Blacks Stream,680.05, ,Blacks Stream, ,255,86,niwa
5052,10,1982,Pareora River,1491105,Taiko Stream (Translocation),701, ,Unnamed pond, ,160,32,niwa
5058,10,1982,Longbeach,1491078,Unnamed water race Grahams Road 3,690,night,Unnamed stream Beachcroft,,25,3,niwa
5652,10,1983,Longbeach,1491078,Unnamed water race Grahams Road 3,690, ,Unnamed stream Beachcroft, ,25,3,niwa
5660,10,1983,Pareora River,1491105,Taiko Stream (Translocation),701,1200,Unnamed pond,,160,32,niwa
5662,10,1983,St Andrews,1491106,Unnamed stream St Andrews,702,day,Unnamed stream St Andrews,,5,0,niwa
5669,1,1984,Selwyn River,1491036,Hororata River tributary 2,680.04,night,Hororata River,,140,65,niwa
5929,5,1974,Waimate Creek,1491120,Waituna Stream ponds,708,,Unnamed pond,,40,15,niwa
6634,8,1984,Selwyn River,1491060,Glendore Stream,680.08,1030,Steventon Stream,,360,90,niwa
6635,8,1984,Selwyn River,1491060,Glendore Stream,680.08,,Steventon Stream pond,,330,89,niwa
6639,10,1984,Morven Drain,1491126,Dog Kennel Stream,710.02,1300,Dog Kennel Stream,,80,14,niwa
6640,10,1984,Pareora River,1491105,Taiko Stream (Translocation),701.04,1045,Taiko Stream, ,130,30,niwa
6641,10,1984,Pareora River,1491105,Taiko Stream (Translocation),701.04,1100,Unnamed pond,,160,32,niwa
6643,10,1984,Selwyn River,1491032,Selwyn River tributary 2,680,,Selwyn River ponds,,50,38,niwa
7658,4,1984,Selwyn River,1491033,Selwyn River tributary 3,680,1600,Selwyn River tributary,,110,54,indm
7745,4,1986,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05,1400,Peacock Springs, ,40,22,niwa
7749,5,1986,Avon River,1491028,Christchurch Botanical Gardens (Translocation),666,night,Unnamed pond,,5,17,niwa
9981,7,1988,Selwyn River,1491036,Hororata River tributary 2,680.04,,Hororata River oxbow,,140,65,niwa
9982,7,1988,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,,Mounseys Stream tributary,,310,65,niwa
9994,4,1989,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05,night,Peacock Springs,,40,22,niwa
9997,11,1989,Selwyn River,1491060,Glendore Stream,680.08,1000,Unnamed wetland,,320,89,niwa
9998,11,1989,Selwyn River,1491060,Glendore Stream,680.08,1400,Unnamed wetland, ,330,89,niwa
10277,9,1989,Pareora River,1491105,Taiko Stream (Translocation),701.04,1020,Taiko Stream,,160,32,docc
10278,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702,845,Unnamed stream St Andrews,,5,1,docc
10279,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702,930,Unnamed stream St Andrews,,5,1,docc
10280,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702,830,Unnamed stream St Andrews,,5,0,docc
10281,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702,900,Unnamed stream St Andrews,,5,0,docc
10282,7,1990,St Andrews,1491106,Unnamed stream St Andrews,702,1015,Unnamed stream St Andrews,,5,2,docc
10283,7,1990,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,845,Horseshoe Bend Stream,,30,8,docc
10284,7,1990,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,930,Horseshoe Bend Stream,,30,8,docc
10285,10,1990,Hook River,1491118,Waituna Stream,707.01,930,Waituna Stream tributary,,20,15,docc
10286,10,1990,Morven Drain,1491126,Dog Kennel Stream,710.02,940,Dog Kennel Stream,,100,16,docc
10287,11,1990,Morven Drain,1491126,Dog Kennel Stream,710.02,945,Dog Kennel Stream,,100,16,docc
10288,11,1990,Morven Drain,1491126,Dog Kennel Stream,710.02,1000,Dog Kennel Stream,,110,16,docc
10289,10,1991,Longbeach,1491077,Unnamed water race Tanseys Road,690,930,Unnamed stream Seabreeze,,18,1,docc
10290,10,1991,Longbeach,1491077,Unnamed water race Tanseys Road,690,900,Unnamed stream Seabreeze,,23,2,docc
10292,10,1993,Longbeach,1491072,Unnamed water race Fords Road,690,1000,Unnamed water race,,80,16,docc
10293,10,1993,Longbeach,1491079,Unnamed water race Longbeach Road,690,1115,Unnamed stream Beachcroft,,32,5,docc
10294,10,1993,Longbeach,1491077,Unnamed water race Tanseys Road,690,1205,Unnamed stream Seabreeze,,23,2,docc
10295,10,1994,Opihi River,1491094,Rangatira Creek,696.024,,Rangatira Creek,,60,19,docc
10296,5,1995,St Andrews,1491106,Unnamed stream St Andrews,702,,Unnamed stream St Andrews,,5,2,docc
10298,11,1995,Opihi River,1491094,Rangatira Creek,696.024,,Rangatira Creek,,60,19,docc
10299,12,1995,Makikihi,1491115,Unnamed stream Makikihi 3,706.5,,Unnamed pond,,50,9,docc
10300,12,1995,Makikihi,1491115,Unnamed stream Makikihi 3,706.5,,Unnamed stream Makikihi,,50,9,docc
11339,4,1990,Selwyn River,1491047,Waianiwaniwa River,680.05,1300,Waianiwaniwa River,,235,76,niwa
11340,4,1990,Selwyn River,1491048,Waianiwaniwa River tributary 2,680.05,1500,Waianiwaniwa River,,325,74,niwa
11367,12,1986,Selwyn River,1491033,Selwyn River tributary 3,680,1100,Selwyn River,,110,54,niwa
11368,12,1986,Selwyn River,1491058,Selwyn River tributary 6,680,1245,Selwyn River, ,255,80,niwa
11382,5,1994,Hinds River,1491084,Hinds River tributary 1,691,,Clearwell Springs,,195,33,unk
11973,1,2002,Waitaki River,1491139,Waitaki River tributary 2,711, ,Unnamed pond, ,85,28,niwa
12228,2,2002,Selwyn River,1491056,Selwyn water race,680.04, ,Unnamed pond Hororata Domain, ,195,79,docc
12230,2,2002,Woodend,1491004,Tutaepatu Lagoon,663, ,Tutai Patu Lagoon, ,2,9,docc
14907,12,1986,Lake Ellesmere,1491064,Ellesmere stockwater race and drainage network,683,1445,Lake Ellesmere tributary, ,40,24,niwa
15401,4,1996,Longbeach,1491077,Unnamed water race Tanseys Road,690,,Unnamed stream Seabreeze,,15,1,docc
15403,7,1996,Pareora River,1491101,Pareora River tributary 1,701,1330,Pareora River tributary,,5,2,docc
15404,7,1996,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,1415,Horseshoe Bend Stream,,10,5,docc
15405,8,1996,Hook River,1491116,Wainono Lagoon,707,1030,Unnamed wetland,,1,11,docc
15406,8,1996,Hook River,1491116,Wainono Lagoon,707,1130,Unnamed wetland,,1,11,docc
15407,10,1996,Pareora River,1491105,Taiko Stream (Translocation),701.04,1000,Taiko Stream,,140,31,docc
15408,12,1996,Hinds River,1491084,Hinds River tributary 1,691, ,Clearwell Springs, ,195,33,docc
15409,12,1996,Hinds River,1491088,North Branch Hinds River,691.01,,North Branch Hinds River,,280,45,docc
15410,4,1997,Longbeach,1491078,Unnamed water race Grahams Road 3,690,1145,Unnamed water race,,35,5,docc
15412,6,1997,Waitaki River,1491131,Mount Harris Stream,711.01,,Mt Harris Stream,,90,25,docc
15413,9,1997,Washdyke Creek,1491100,Papaka Stream 2,698.02,1100,Papaka Stream,,50,14,docc
15414,1,1998,Makikihi,1491113,Unnamed stream Makikihi 1,706.5,,Unnamed pond Makikihi,,15,3,docc
15415,6,1998,Morven Drain,1491123,Unnamed stream Morven 1,710,1300,Unnamed stream Morven,,10,9,docc
15416,8,1998,Waitaki River,1491130,Waikakahi Stream,711.01,1130,Unnamed pond,,90,25,docc
15417,8,1998,Waitaki River,1491127,Whitneys Creek,711,940,Whitneys Creek,,60,17,docc
15418,3,2000,Longbeach,1491081,Unnamed pond Willowby (Translocation),690,840,Unnamed wetland,,70,15,docc
15420,2,2002,Lowcliffe,1491093,Unnamed wetland Wairuna,692,900,Unnamed drain Wairuna,,12,2,docc
15421,2,2002,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,,Unnamed wetland,,160,35,docc
16002,2,2003,Ashburton River,1491067,Unnamed stock water race Lower Beach Road,688,,Unnamed lake,,5,0,docc
16806,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1300,Hororata River tributary,,155,67,docc
16807,10,2002,Selwyn River,1491042,Cordys Stream,680.04,1030,Cordys Stream,,190,79,docc
16808,10,2002,Selwyn River,1491043,Hororata River 2,680.04,1120,Hororata River,,190,79,docc
16809,10,2002,Selwyn River,1491043,Hororata River 2,680.04,1130,Hororata River,,190,79,docc
16815,10,2002,Selwyn River,1491043,Hororata River 2,680.04,1415,Unnamed pond, ,185,78,docc
16816,11,2002,Selwyn River,1491042,Cordys Stream,680.04,1100,Cordys Stream,,180,77,docc
16817,11,2002,Selwyn River,1491043,Hororata River 2,680.04,1400,Hororata River,,185,78,docc
16818,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1500,Hororata River tributary,,155,67,docc
