Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
2561,3,1965,Utakura River,1511017,Lake Omapere wetland,477.05, ,Lake Omapere, ,235,24,niwa,p05,2581000,6648800,1009347,ef,1, , 
55022,2,1966,Utakura River,1511017,Lake Omapere wetland,477.05,,Lake Omapere,,235,25,niwa,p05,2581300,6648800,1009347,unk,,,
8654,1,1988,Utakura River,1511017,Lake Omapere wetland,477.05, ,Lake Omapere, ,235,24,nffg,p05,2581100,6648800,1009347,ncn, , , 
9292,2,1992,Waitangi River,1511006,Mangatawai Stream wetland,37.015,1050,Unnamed lake, ,210,38,bior,p05,2589300,6642600,0,ef,1, , 
9293,2,1992,Waitangi River,1511006,Mangatawai Stream wetland,37.015,1120,Unnamed lake, ,210,38,bior,p05,2589200,6642500,0,ncn, , , 
9294,2,1992,Waitangi River,1511006,Mangatawai Stream wetland,37.015,1440,Unnamed wetland, ,230,38,bior,p05,2590100,6642000,0,gmt, , ,3
13353,8,1993,Kerikeri River,1511003,Waiwhakangarongaro Stream wetland,35.01,,Unnamed wetland,,140,11,docx,P05,2593500,6659500,0,gmt,,,17
13301,2,1994,Waitangi River,1511006,Mangatawai Stream wetland,37.015,night,Unnamed wetland,,110,36,docx,P05,2589000,6643000,1010368,kbt,,,9
18777,6,1998,Kerikeri River,1511003,Waiwhakangarongaro Stream wetland,35.01,1000,Unnamed wetland,,150,11,docx,P05,2593200,6659500,0,kbt,,,10
18776,1,1999,Kerikeri River,1511003,Waiwhakangarongaro Stream wetland,35.01,1100,Unnamed wetland,,150,11,docx,P05,2593200,6659500,0,gmt,,,10
19399,10,1999,Kerikeri River,1511003,Waiwhakangarongaro Stream wetland,35.01,night,Unnamed wetland,,120,10,docx,P05,2593300,6660400,0,gmt,,,5
19400,10,1999,Kerikeri River,1511003,Waiwhakangarongaro Stream wetland,35.01,night,Waiwhakangarongaro Stream tributary,,120,10,docx,P05,2593200,6660200,1007001,kgt,,,10
19401,8,1999,Waitangi River,1511006,Mangatawai Stream wetland,37.015,1400,Mangatawai Stream tributary,,120,36,docx,P05,2589000,6642700,1010530,gmt,,,12
19577,11,1999,Waima River,1511012,Punakitere River tributary Rakautao Forest wetland,475.033,1200,Wairoro Stream tributary, ,120,43,chhf,p06,2589500,6639200,1011216,efp,2, ,50
19578,11,1999,Waima River,1511012,Punakitere River tributary Rakautao Forest wetland,475.033,1200,Wairoro Stream tributary, ,120,44,chhf,p06,2589500,6639000,1011216,efp,2, ,50
19900,5,2000,Kerikeri Inlet,1511002,Kerikeri Inlet tributary wetland,36, ,Unnamed wetland, ,20,5,docx,p05,2601600,6661700,1006689,gmt, , ,15
20252,6,2000,Kerikeri Inlet,1511002,Kerikeri Inlet tributary wetland,36,night,Unnamed wetland,,35,6,docx,P05,2603200,6660800,1006856,gmt,,,12
20253,6,2000,Kerikeri Inlet,1511002,Kerikeri Inlet tributary wetland,36,night,Unnamed wetland,,10,2,docx,P05,2602800,6663500,1006538,gmt,,,7
