"card","Month","Year","catchmentName","fragmentNumber","fragmentName","Catch No","m","y","catchname","catch","locality","time","org","map","east","north","altitude","penet","fishmeth","effort","pass","spcode","abund","number","minl","maxl","nzreach","abundnumber","aldfor","ameneb","angaus","angdie","angrei","anguil","caraur","chefos","cteide","cypcar","echauc","echone","galano","galarg","galaxi","galbre","galcob","galdep","galdiv","galeld","galfas","galgol","galgra","galmac","galmar","galpau","galpos","galpro","galpul","galspd","galspn","galspp","galsps","galspt","galvul","gamaff","geoaus","gobalp","gobbas","gobbre","gobcot","gobgob","gobhub","gobhut","gobiom","graham","hypmol","hyrmen","leuidu","marine","mugcep","mugil","neoapo","neobur","neodiv","neohel","neorek","nospec","oncmyk","oncner","onctsh","parane","parcur","parmar","perflu","poelat","poeret","prooxy","retret","rholep","rhombo","rhoret","salfon","salmo","salsal","saltru","scaery","stoani","tintin"
"122","1","1975","Selwyn River","1491036","Hororata River tributary 2","680.04","1","1975","Selwyn R","680.040","Unnamed wetland","","niwa","l36","2432300","5735300","140","65","unk","","","neobur","c","","","","0","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","",""
"828","10","1966","Hinds River","1491091","Hinds River North Branch tributary wetland 1","691.01","10","1966","Hinds R","691.010","North Branch Hinds River tributary","day","niwa","k36","2375900","5721500","420","59","ef","","1","gobbre","c","","","","13051658","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"828","10","1966","Hinds River","1491091","Hinds River North Branch tributary wetland 1","691.01","10","1966","Hinds R","691.010","North Branch Hinds River tributary","day","niwa","k36","2375900","5721500","420","59","ef","","1","neobur","","1","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"830","10","1966","Hinds River","1491090","Hinds River North Branch tributary 1","691.02","10","1966","Hinds R","691.020","South Branch Hinds River tributary","day","niwa","k36","2379100","5717000","360","53","ef","","1","neobur","","11","","120","13053653","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","",""
"830","10","1966","Hinds River","1491090","Hinds River North Branch tributary 1","691.02","10","1966","Hinds R","691.020","South Branch Hinds River tributary","day","niwa","k36","2379100","5717000","360","53","ef","","1","gobbre","a","","","","13053653","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1026","7","1978","Selwyn River","1491045","Blacks Stream","680.05","7","1978","Selwyn R","680.050","Blacks Stream tributary","night","niwa","l35","2431100","5752900","270","87","fyn","","","nospec","","0","","","13042506","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"1027","7","1978","Selwyn River","1491045","Blacks Stream","680.05","7","1978","Selwyn R","680.050","Blacks Stream","night","niwa","l35","2430900","5751800","255","86","ntc","","","neobur","r","7","","","13043304","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"1028","7","1978","Selwyn River","1491045","Blacks Stream","680.05","7","1978","Selwyn R","680.050","Blacks Stream","night","niwa","l35","2430700","5753100","270","87","fyn","","","nospec","","0","","","13042661","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"1029","7","1978","Selwyn River","1491045","Blacks Stream","680.05","7","1978","Selwyn R","680.050","Blacks Stream pond","night","niwa","l35","2431000","5752900","270","87","fyn","","","nospec","","0","","","13042951","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"2123","10","1988","Pareora River","1491105","Taiko Stream (Translocation)","701","10","1988","Pareora R","701.000","Unnamed pond","1000","scfg","j38","2353100","5651300","160","32","han","","","gobbre","r","","40","50","0","rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
