nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,,TRUE,FALSE,,200,800,,V1
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Gobiomorphus cotidianus,Common bully,,,TRUE,FALSE,,,,,V1
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,,11,FALSE,FALSE,,,,,V1
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Cheimarrichthys fosteri,Torrentfish,,2,FALSE,FALSE,,,,,V1
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Anguilla australis,Shortfin eel,,2,FALSE,FALSE,,,300,,V1
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Galaxias maculatus,Inanga,,3,FALSE,FALSE,,,,,V1
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Geotria australis,Lamprey,,20,FALSE,FALSE,,,,,V1
1143,1101001,Kakanui River,,23/01/1979,11:00,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1430212,4996777,-45.162053,170.839648,14227906,10,9.5,n,u,u,CV.,75,15,,1.5,Medium,Tea coloured or brown,,,16,,,,,,"Pool:10, Run:30, Riffle:60","Sand (1-2 mm):5, Fine gravel:47, Coarse gravel:48",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Gobiomorphus breviceps,Upland bully,,1,FALSE,FALSE,,78,,,V1
1150,1101001,Kakanui River,,19/04/1979,14:30,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1428908,5001676,-45.11767,170.824745,14224981,30,15.4,n,u,u,CV.,100,20,,1,High,Tea coloured or brown,,,14,,,,,,"Pool:60, Run:20, Riffle:20","Sand (1-2 mm):5, Fine gravel:40, Coarse gravel:45, Boulders (> 257 mm):10",,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,,2,FALSE,FALSE,,,,,V1
1150,1101001,Kakanui River,,19/04/1979,14:30,NIWA,,Kakanui River,Not Entered,Perennial,,717,Kakanui R,1428908,5001676,-45.11767,170.824745,14224981,30,15.4,n,u,u,CV.,100,20,,1,High,Tea coloured or brown,,,14,,,,,,"Pool:60, Run:20, Riffle:20","Sand (1-2 mm):5, Fine gravel:40, Coarse gravel:45, Boulders (> 257 mm):10",,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Geotria australis,Lamprey,,2,FALSE,FALSE,,,,,V1
