nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
5300,1121053,Waikouaiti River North Branch 1,,2/02/1989,18:00,Fish and Game Otago,,North Branch Waikouaiti River,Not Entered,Perennial,,731,Waikouaiti R,1408648,4962455,-45.465202,170.552247,14250555,250,45.7,n,u,u,CV.,1000,,,,Low,Tea coloured or brown,,,,,,,,,"Pool:80, Run:10, Riffle:10","Fine gravel:10, Coarse gravel:10, Boulders (> 257 mm):20, Bedrock:60",,,Observation - Observation,Unknown,,,,,,,,,,,,,,Salmo trutta,Brown trout,,1,FALSE,FALSE,,500,,,V1
5300,1121053,Waikouaiti River North Branch 1,,2/02/1989,18:00,Fish and Game Otago,,North Branch Waikouaiti River,Not Entered,Perennial,,731,Waikouaiti R,1408648,4962455,-45.465202,170.552247,14250555,250,45.7,n,u,u,CV.,1000,,,,Low,Tea coloured or brown,,,,,,,,,"Pool:80, Run:10, Riffle:10","Fine gravel:10, Coarse gravel:10, Boulders (> 257 mm):20, Bedrock:60",,,Observation - Observation,Unknown,,,,,,,,,,,,,,Anguilla,Unidentified eel,,1,FALSE,FALSE,,,,,V1
5300,1121053,Waikouaiti River North Branch 1,,2/02/1989,18:00,Fish and Game Otago,,North Branch Waikouaiti River,Not Entered,Perennial,,731,Waikouaiti R,1408648,4962455,-45.465202,170.552247,14250555,250,45.7,n,u,u,CV.,1000,,,,Low,Tea coloured or brown,,,,,,,,,"Pool:80, Run:10, Riffle:10","Fine gravel:10, Coarse gravel:10, Boulders (> 257 mm):20, Bedrock:60",,,Observation - Observation,Unknown,,,,,,,,,,,,,,Galaxias,Unidentified galaxiid,,,TRUE,FALSE,,,,,V1
5300,1121053,Waikouaiti River North Branch 1,,2/02/1989,18:00,Fish and Game Otago,,North Branch Waikouaiti River,Not Entered,Perennial,,731,Waikouaiti R,1408648,4962455,-45.465202,170.552247,14250555,250,45.7,n,u,u,CV.,1000,,,,Low,Tea coloured or brown,,,,,,,,,"Pool:80, Run:10, Riffle:10","Fine gravel:10, Coarse gravel:10, Boulders (> 257 mm):20, Bedrock:60",,,Observation - Observation,Unknown,,,,,,,,,,,,,,Gobiomorphus cotidianus,Common bully,,,TRUE,FALSE,,,,,V1
10882,1121002,Shag River 1,,3/03/1989,13:20,Fish and Game Otago,,Shag River,Not Entered,Perennial,,726,Shag R,1409431,4978357,-45.322406,170.568398,14239470,120,43.9,n,u,u,,40,7,,0.3,Low,Colourless,,,21,,,,,,"Pool:10, Run:70, Riffle:20","Fine gravel:20, Coarse gravel:80","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n","Scrub:20, Exposed bed:10, Grass/tussock:70",Electric fishing - Type unknown,Unknown,2,,,,,,280,,,,,,,Galaxias,Unidentified galaxiid,,3,FALSE,FALSE,,55,60,,V1
10882,1121002,Shag River 1,,3/03/1989,13:20,Fish and Game Otago,,Shag River,Not Entered,Perennial,,726,Shag R,1409431,4978357,-45.322406,170.568398,14239470,120,43.9,n,u,u,,40,7,,0.3,Low,Colourless,,,21,,,,,,"Pool:10, Run:70, Riffle:20","Fine gravel:20, Coarse gravel:80","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n","Scrub:20, Exposed bed:10, Grass/tussock:70",Electric fishing - Type unknown,Unknown,2,,,,,,280,,,,,,,Salmo trutta,Brown trout,,10,FALSE,FALSE,,74,120,,V1
10882,1121002,Shag River 1,,3/03/1989,13:20,Fish and Game Otago,,Shag River,Not Entered,Perennial,,726,Shag R,1409431,4978357,-45.322406,170.568398,14239470,120,43.9,n,u,u,,40,7,,0.3,Low,Colourless,,,21,,,,,,"Pool:10, Run:70, Riffle:20","Fine gravel:20, Coarse gravel:80","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n","Scrub:20, Exposed bed:10, Grass/tussock:70",Electric fishing - Type unknown,Unknown,2,,,,,,280,,,,,,,Anguilla dieffenbachii,Longfin eel,,3,FALSE,FALSE,,340,580,,V1
10882,1121002,Shag River 1,,3/03/1989,13:20,Fish and Game Otago,,Shag River,Not Entered,Perennial,,726,Shag R,1409431,4978357,-45.322406,170.568398,14239470,120,43.9,n,u,u,,40,7,,0.3,Low,Colourless,,,21,,,,,,"Pool:10, Run:70, Riffle:20","Fine gravel:20, Coarse gravel:80","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n","Scrub:20, Exposed bed:10, Grass/tussock:70",Electric fishing - Type unknown,Unknown,2,,,,,,280,,,,,,,Gobiomorphus breviceps,Upland bully,,2,FALSE,FALSE,,37,45,,V1
26689,1121002,Shag River 1,,24/11/2005,12:00,Department of Conservation Otago,,Shag River tributary,Not Entered,Perennial,,726,Shag R,1413426,4974340,-45.359607,170.617813,14242589,65,31.8,n,u,n,,,0.5,,0.4,Medium,Colourless,,,16.7,0.99,,,,,"Pool:30, Run:30, Riffle:30, Rapid:10","Mud:5, Sand (1-2 mm):10, Fine gravel:50, Coarse gravel:20, Cobbles (64-257 mm):15","Macrophytes-algae:y, Wood/instream debris:y, Bank vegetation:y, Undercut banks:n","Exotic forest:10, Scrub:80, Grass/tussock:10",Electric fishing - Backpack,Unknown,1,,,,,,100,,,,,,,Anguilla,Unidentified eel,,1,FALSE,FALSE,,,,,V1
26689,1121002,Shag River 1,,24/11/2005,12:00,Department of Conservation Otago,,Shag River tributary,Not Entered,Perennial,,726,Shag R,1413426,4974340,-45.359607,170.617813,14242589,65,31.8,n,u,n,,,0.5,,0.4,Medium,Colourless,,,16.7,0.99,,,,,"Pool:30, Run:30, Riffle:30, Rapid:10","Mud:5, Sand (1-2 mm):10, Fine gravel:50, Coarse gravel:20, Cobbles (64-257 mm):15","Macrophytes-algae:y, Wood/instream debris:y, Bank vegetation:y, Undercut banks:n","Exotic forest:10, Scrub:80, Grass/tussock:10",Electric fishing - Backpack,Unknown,1,,,,,,100,,,,,,,Anguilla australis,Shortfin eel,,1,FALSE,FALSE,,420,,,V1
