nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
50,1131024,Station Creek,,12/12/1977,day,NIWA,,Station Creek,Not Entered,Perennial,,932.55,Buller R,1575918,5382618,-41.707864,172.710537,12034296,430,150.3,n,u,u,,50,,,,Unknown,,,,,,,,,,Run:100,"Mud:50, Fine gravel:25, Coarse gravel:25",,"Scrub:5, Grass/tussock:95",Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Galaxias divergens,Dwarf galaxias,,,TRUE,FALSE,,,,,V1
50,1131024,Station Creek,,12/12/1977,day,NIWA,,Station Creek,Not Entered,Perennial,,932.55,Buller R,1575918,5382618,-41.707864,172.710537,12034296,430,150.3,n,u,u,,50,,,,Unknown,,,,,,,,,,Run:100,"Mud:50, Fine gravel:25, Coarse gravel:25",,"Scrub:5, Grass/tussock:95",Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Gobiomorphus breviceps,Upland bully,,,TRUE,FALSE,,,,,V1
50,1131024,Station Creek,,12/12/1977,day,NIWA,,Station Creek,Not Entered,Perennial,,932.55,Buller R,1575918,5382618,-41.707864,172.710537,12034296,430,150.3,n,u,u,,50,,,,Unknown,,,,,,,,,,Run:100,"Mud:50, Fine gravel:25, Coarse gravel:25",,"Scrub:5, Grass/tussock:95",Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,,,TRUE,FALSE,,,,,V1
50,1131024,Station Creek,,12/12/1977,day,NIWA,,Station Creek,Not Entered,Perennial,,932.55,Buller R,1575918,5382618,-41.707864,172.710537,12034296,430,150.3,n,u,u,,50,,,,Unknown,,,,,,,,,,Run:100,"Mud:50, Fine gravel:25, Coarse gravel:25",,"Scrub:5, Grass/tussock:95",Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,,TRUE,FALSE,,,,,V1
84,1131033,Petrel Creek,,16/03/1966,day,NIWA,,Petrel Creek,Not Entered,Unknown,,914.067,Grey R,1471233,5276967,-42.64899,171.429128,12083347,90,56,n,u,u,,,,,,Unknown,Colourless,,,,,,,,,,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,,,FALSE,FALSE,,,,,V1
84,1131033,Petrel Creek,,16/03/1966,day,NIWA,,Petrel Creek,Not Entered,Unknown,,914.067,Grey R,1471233,5276967,-42.64899,171.429128,12083347,90,56,n,u,u,,,,,,Unknown,Colourless,,,,,,,,,,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,4,FALSE,FALSE,,,,,V1
84,1131033,Petrel Creek,,16/03/1966,day,NIWA,,Petrel Creek,Not Entered,Unknown,,914.067,Grey R,1471233,5276967,-42.64899,171.429128,12083347,90,56,n,u,u,,,,,,Unknown,Colourless,,,,,,,,,,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Galaxias argenteus,Giant kokopu,,3,FALSE,FALSE,,,,,V1
84,1131033,Petrel Creek,,16/03/1966,day,NIWA,,Petrel Creek,Not Entered,Unknown,,914.067,Grey R,1471233,5276967,-42.64899,171.429128,12083347,90,56,n,u,u,,,,,,Unknown,Colourless,,,,,,,,,,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Galaxias divergens,Dwarf galaxias,,,FALSE,FALSE,,,,,V1
168,1131066,Dirty Mary Creek,,22/02/1978,10:05,NIWA,,Mawheraiti River,Not Entered,Perennial,,914.29,Grey R,1497738,5337646,-42.106617,171.763158,12056566,200,82,n,u,u,CV.,50,,,,Low,Colourless,,,17,,,,6.6,,"Pool:50, Run:40, Riffle:10","Fine gravel:5, Coarse gravel:5, Cobbles (64-257 mm):80, Boulders (> 257 mm):10",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Geotria australis,Lamprey,,,TRUE,FALSE,,,,,V1
168,1131066,Dirty Mary Creek,,22/02/1978,10:05,NIWA,,Mawheraiti River,Not Entered,Perennial,,914.29,Grey R,1497738,5337646,-42.106617,171.763158,12056566,200,82,n,u,u,CV.,50,,,,Low,Colourless,,,17,,,,6.6,,"Pool:50, Run:40, Riffle:10","Fine gravel:5, Coarse gravel:5, Cobbles (64-257 mm):80, Boulders (> 257 mm):10",,,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Galaxias divergens,Dwarf galaxias,,,TRUE,FALSE,,,,,V1
