nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
837,1181168,Lake Thomas,,12/03/1966,day,NIWA,,Lake Thomas,Not Entered,Perennial,,797.422,Waiau R,1204902,4951983,-45.473708,167.945109,15257630,490,130.6,n,u,u,SC.,,,,,Unknown,,,,13.6,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Paranephrops,Koura,,,TRUE,FALSE,,,,,V1
837,1181168,Lake Thomas,,12/03/1966,day,NIWA,,Lake Thomas,Not Entered,Perennial,,797.422,Waiau R,1204902,4951983,-45.473708,167.945109,15257630,490,130.6,n,u,u,SC.,,,,,Unknown,,,,13.6,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Retropinna retropinna,Common smelt,,15,FALSE,FALSE,,,,,V1
837,1181168,Lake Thomas,,12/03/1966,day,NIWA,,Lake Thomas,Not Entered,Perennial,,797.422,Waiau R,1204902,4951983,-45.473708,167.945109,15257630,490,130.6,n,u,u,SC.,,,,,Unknown,,,,13.6,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,reported to be present.,,FALSE,FALSE,,,,,V1
851,1181132,Morley Stream,,26/01/1964,day,Unknown Institution,,Morley Stream tributary,Not Entered,Perennial,,797.179,Waiau R,1205176,4905108,-45.894123,167.910535,15289564,330,71.6,n,u,u,MR?,,,,,Unknown,,,,,,,,,,,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Galaxias,Unidentified galaxiid,,,FALSE,FALSE,,,,,V1
851,1181132,Morley Stream,,26/01/1964,day,Unknown Institution,,Morley Stream tributary,Not Entered,Perennial,,797.179,Waiau R,1205176,4905108,-45.894123,167.910535,15289564,330,71.6,n,u,u,MR?,,,,,Unknown,,,,,,,,,,,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Paranephrops,Koura,,,TRUE,FALSE,,,,,V1
1579,1181035,Oteramika Stream,,20/10/1983,15:00,Fish and Game Southland,,Oteramika Creek tributary,Not Entered,Perennial,,775.08,Mataura R,1274766,4854380,-46.385857,168.770083,15314855,15,31.2,n,u,u,CV.,110,2,,1,Medium,,,,12.5,,,,6.3,,Run:100,"Mud:20, Fine gravel:40, Coarse gravel:40",,,Electric fishing - Type unknown,Unknown,1,,,,,,220,,,,,,,Galaxias,Unidentified galaxiid,,2,FALSE,FALSE,,,,,V1
1579,1181035,Oteramika Stream,,20/10/1983,15:00,Fish and Game Southland,,Oteramika Creek tributary,Not Entered,Perennial,,775.08,Mataura R,1274766,4854380,-46.385857,168.770083,15314855,15,31.2,n,u,u,CV.,110,2,,1,Medium,,,,12.5,,,,6.3,,Run:100,"Mud:20, Fine gravel:40, Coarse gravel:40",,,Electric fishing - Type unknown,Unknown,1,,,,,,220,,,,,,,Salmo trutta,Brown trout,,2,FALSE,FALSE,,,,,V1
1579,1181035,Oteramika Stream,,20/10/1983,15:00,Fish and Game Southland,,Oteramika Creek tributary,Not Entered,Perennial,,775.08,Mataura R,1274766,4854380,-46.385857,168.770083,15314855,15,31.2,n,u,u,CV.,110,2,,1,Medium,,,,12.5,,,,6.3,,Run:100,"Mud:20, Fine gravel:40, Coarse gravel:40",,,Electric fishing - Type unknown,Unknown,1,,,,,,220,,,,,,,Gobiomorphus cotidianus,Common bully,,,TRUE,FALSE,,,,,V1
1583,1181110,Hillpoint Stream,,21/12/1983,15:45,Fish and Game Southland,,Hillpoint Stream,Not Entered,Perennial,,789.25,Aparima R,1222617,4896826,-45.978177,168.128003,15292900,130,66.9,n,u,u,CV.,105,3,,1.5,Medium,Colourless,,,16,,,,9.5,,"Pool:50, Run:25, Riffle:25","Mud:10, Fine gravel:45, Coarse gravel:45",,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,20,FALSE,FALSE,,,,,V1
1583,1181110,Hillpoint Stream,,21/12/1983,15:45,Fish and Game Southland,,Hillpoint Stream,Not Entered,Perennial,,789.25,Aparima R,1222617,4896826,-45.978177,168.128003,15292900,130,66.9,n,u,u,CV.,105,3,,1.5,Medium,Colourless,,,16,,,,9.5,,"Pool:50, Run:25, Riffle:25","Mud:10, Fine gravel:45, Coarse gravel:45",,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,,2,FALSE,FALSE,,497,582,,V1
