nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
3578,1151001,Lake Kaiiwi,,26/07/1980,15:30,Private Individuals,,Lake Kaiiwi,Not Entered,Perennial,,468,Kaiiwi S,1659038,6036443,-35.814373,173.653516,1022003,70,6.5,n,u,u,CV.,50,300,,,Medium,Colourless,,,,,,,,,Still:100,Sand (1-2 mm):100,,,Other net - Hand net,Unknown,,,,,,,,,,,,,,Gambusia affinis,Gambusia,,,TRUE,FALSE,,20,,,V1
4177,1151001,Lake Kaiiwi,,6/05/1982,17:00,NIWA,,Lake Kaiiwi,Not Entered,Perennial,,468,Kaiiwi S,1659038,6036443,-35.814373,173.653516,1022003,70,6.5,n,u,u,,300,,,,Unknown,Blue,,,,,,,,,Still:100,Sand (1-2 mm):100,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Gambusia affinis,Gambusia,,,TRUE,FALSE,,,,,V1
4177,1151001,Lake Kaiiwi,,6/05/1982,17:00,NIWA,,Lake Kaiiwi,Not Entered,Perennial,,468,Kaiiwi S,1659038,6036443,-35.814373,173.653516,1022003,70,6.5,n,u,u,,300,,,,Unknown,Blue,,,,,,,,,Still:100,Sand (1-2 mm):100,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Gobiomorphus cotidianus,Common bully,,,TRUE,FALSE,,,,,V1
4178,1151002,Lake Taharoa,,7/06/1968,day,NIWA,,Lake Taharoa,Not Entered,Perennial,,468,L Taharoa,1658635,6037642,-35.803587,173.648968,1021967,70,7.9,n,u,u,V. Data also applies to L Kaiiwi.,2000,,,36,Unknown,Blue,,,15,,,,6.9,,Still:100,Sand (1-2 mm):100,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Galaxias gracilis,Dwarf inanga,,,TRUE,FALSE,,,,,V1
4178,1151002,Lake Taharoa,,7/06/1968,day,NIWA,,Lake Taharoa,Not Entered,Perennial,,468,L Taharoa,1658635,6037642,-35.803587,173.648968,1021967,70,7.9,n,u,u,V. Data also applies to L Kaiiwi.,2000,,,36,Unknown,Blue,,,15,,,,6.9,,Still:100,Sand (1-2 mm):100,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Gobiomorphus cotidianus,Common bully,,,TRUE,FALSE,,,,,V1
4178,1151002,Lake Taharoa,,7/06/1968,day,NIWA,,Lake Taharoa,Not Entered,Perennial,,468,L Taharoa,1658635,6037642,-35.803587,173.648968,1021967,70,7.9,n,u,u,V. Data also applies to L Kaiiwi.,2000,,,36,Unknown,Blue,,,15,,,,6.9,,Still:100,Sand (1-2 mm):100,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Paranephrops,Koura,,,TRUE,FALSE,,,,,V1
4178,1151002,Lake Taharoa,,7/06/1968,day,NIWA,,Lake Taharoa,Not Entered,Perennial,,468,L Taharoa,1658635,6037642,-35.803587,173.648968,1021967,70,7.9,n,u,u,V. Data also applies to L Kaiiwi.,2000,,,36,Unknown,Blue,,,15,,,,6.9,,Still:100,Sand (1-2 mm):100,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,20,FALSE,FALSE,,60,120,,V1
4179,1151002,Lake Taharoa,,11/03/1969,day,NIWA,,Lake Taharoa,Not Entered,Perennial,,468,L Taharoa,1658635,6037642,-35.803587,173.648968,1021967,70,7.9,n,u,u,V. Data also applies to L Kaiiwi.,2100,,,24,Unknown,Blue,,,20.8,,,,6.9,,Still:100,Sand (1-2 mm):100,,,Gill net - Single mesh,Unknown,,,,,,,,,,,,,,Gobiomorphus cotidianus,Common bully,,,TRUE,FALSE,,,,,V1
4179,1151002,Lake Taharoa,,11/03/1969,day,NIWA,,Lake Taharoa,Not Entered,Perennial,,468,L Taharoa,1658635,6037642,-35.803587,173.648968,1021967,70,7.9,n,u,u,V. Data also applies to L Kaiiwi.,2100,,,24,Unknown,Blue,,,20.8,,,,6.9,,Still:100,Sand (1-2 mm):100,,,Gill net - Single mesh,Unknown,,,,,,,,,,,,,,Anguilla australis,Shortfin eel,,17,FALSE,FALSE,,1000,1100,,V1
4179,1151002,Lake Taharoa,,11/03/1969,day,NIWA,,Lake Taharoa,Not Entered,Perennial,,468,L Taharoa,1658635,6037642,-35.803587,173.648968,1021967,70,7.9,n,u,u,V. Data also applies to L Kaiiwi.,2100,,,24,Unknown,Blue,,,20.8,,,,6.9,,Still:100,Sand (1-2 mm):100,,,Gill net - Single mesh,Unknown,,,,,,,,,,,,,,Oncorhynchus mykiss,Rainbow trout,liberated 9/68.,25,FALSE,FALSE,,260,330,,V1
