nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
2417,1381003,Bowscale Tarn,,27/11/1986,11:00,NIWA,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5335931,-42.128719,172.951652,13057301,1030,223.5,n,u,u,CV.,300,,,,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Gobiomorphus alpinus,Tarndale bully,,,TRUE,FALSE,,,,,V1
2417,1381003,Bowscale Tarn,,27/11/1986,11:00,NIWA,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5335931,-42.128719,172.951652,13057301,1030,223.5,n,u,u,CV.,300,,,,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,,,TRUE,FALSE,,,405,,V1
2417,1381003,Bowscale Tarn,,27/11/1986,11:00,NIWA,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5335931,-42.128719,172.951652,13057301,1030,223.5,n,u,u,CV.,300,,,,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Galaxias brevipinnis,Koaro,,,TRUE,FALSE,,,,,V1
17207,1381005,Unnamed tarn,,1997,,Department of Conservation Nelson Marlborough,,Unnamed tarn,Not Entered,Perennial,,621.595,Clarence R,1595504,5336531,-42.123312,172.945607,5,1050,225.4,n,u,u,,,,,3,Medium,,,,,,,,,,Still:100,"Mud:50, Sand (1-2 mm):20, Fine gravel:15, Coarse gravel:10, Cobbles (64-257 mm):5","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",,Other net - combination of nets and traps,Unknown,,,,,,,,13,,,,,,Gobiomorphus alpinus,Tarndale bully,,89,FALSE,FALSE,,,,,V1
17207,1381005,Unnamed tarn,,1997,,Department of Conservation Nelson Marlborough,,Unnamed tarn,Not Entered,Perennial,,621.595,Clarence R,1595504,5336531,-42.123312,172.945607,5,1050,225.4,n,u,u,,,,,3,Medium,,,,,,,,,,Still:100,"Mud:50, Sand (1-2 mm):20, Fine gravel:15, Coarse gravel:10, Cobbles (64-257 mm):5","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",,Other net - combination of nets and traps,Unknown,,,,,,,,13,,,,,,Galaxias brevipinnis,Koaro,,6,FALSE,FALSE,,,,,V1
19643,1381002,Island Lake,,14/02/2001,14:00,Department of Conservation Nelson Marlborough,,Island Lake,Not Entered,Perennial,,621.595,Clarence R,1594704,5332932,-42.155721,172.935896,13058796,1005,229.6,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:5, Coarse gravel:5, Cobbles (64-257 mm):90","Macrophytes-algae:y, Undercut banks:y",Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,50,,,,,,,Anguilla australis,Shortfin eel,,1,FALSE,FALSE,,150,,,V1
19643,1381002,Island Lake,,14/02/2001,14:00,Department of Conservation Nelson Marlborough,,Island Lake,Not Entered,Perennial,,621.595,Clarence R,1594704,5332932,-42.155721,172.935896,13058796,1005,229.6,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:5, Coarse gravel:5, Cobbles (64-257 mm):90","Macrophytes-algae:y, Undercut banks:y",Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,50,,,,,,,Gobiomorphus alpinus,Tarndale bully,,25,FALSE,FALSE,,,,,V1
19644,1381001,Fish Lake,,14/02/2001,18:00,Department of Conservation Nelson Marlborough,,Fish Lake,Not Entered,Perennial,,601,Wairau R,1594405,5336831,-42.120603,172.932314,11056852,1008,159.9,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:70, Fine gravel:10, Coarse gravel:10, Cobbles (64-257 mm):10","Bank vegetation:y, Undercut banks:y","Raupo/flax:40, Grass/tussock:60",Electric fishing - Backpack,Unknown,1,,,,,,250,,,,,,,Anguilla dieffenbachii,Longfin eel,,,TRUE,FALSE,,,,,V1
19644,1381001,Fish Lake,,14/02/2001,18:00,Department of Conservation Nelson Marlborough,,Fish Lake,Not Entered,Perennial,,601,Wairau R,1594405,5336831,-42.120603,172.932314,11056852,1008,159.9,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:70, Fine gravel:10, Coarse gravel:10, Cobbles (64-257 mm):10","Bank vegetation:y, Undercut banks:y","Raupo/flax:40, Grass/tussock:60",Electric fishing - Backpack,Unknown,1,,,,,,250,,,,,,,Gobiomorphus alpinus,Tarndale bully,,,TRUE,FALSE,,,,,V1
19644,1381001,Fish Lake,,14/02/2001,18:00,Department of Conservation Nelson Marlborough,,Fish Lake,Not Entered,Perennial,,601,Wairau R,1594405,5336831,-42.120603,172.932314,11056852,1008,159.9,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:70, Fine gravel:10, Coarse gravel:10, Cobbles (64-257 mm):10","Bank vegetation:y, Undercut banks:y","Raupo/flax:40, Grass/tussock:60",Electric fishing - Backpack,Unknown,1,,,,,,250,,,,,,,Galaxias brevipinnis,Koaro,seen.,,FALSE,FALSE,,,,,V1
19645,1381004,Unnamed tarn Tarndale Brook,,15/02/2001,9:00,Department of Conservation Nelson Marlborough,,Unnamed tarn,Not Entered,Perennial,,621.595,Clarence R,1595404,5336031,-42.127815,172.944393,13057273,1037,224.5,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:5, Fine gravel:5, Cobbles (64-257 mm):90","Macrophytes-algae:y, Undercut banks:y",Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,50,,,,,,,Gobiomorphus alpinus,Tarndale bully,,60,FALSE,FALSE,,20,60,,V1
19646,1381005,Unnamed tarn,,15/02/2001,10:00,Department of Conservation Nelson Marlborough,,Unnamed tarn,Not Entered,Perennial,,621.595,Clarence R,1595604,5336531,-42.123313,172.946817,0,1055,225.4,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:45, Coarse gravel:5, Cobbles (64-257 mm):50",,Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,400,,,,,,,Galaxias brevipinnis,Koaro,,8,FALSE,FALSE,,,,,V1
19646,1381005,Unnamed tarn,,15/02/2001,10:00,Department of Conservation Nelson Marlborough,,Unnamed tarn,Not Entered,Perennial,,621.595,Clarence R,1595604,5336531,-42.123313,172.946817,0,1055,225.4,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:45, Coarse gravel:5, Cobbles (64-257 mm):50",,Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,400,,,,,,,Gobiomorphus alpinus,Tarndale bully,,20,FALSE,FALSE,,,,,V1
19647,1381003,Bowscale Tarn,,15/02/2001,13:30,Department of Conservation Nelson Marlborough,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1595904,5336131,-42.126917,172.950443,13057301,1030,223.5,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:40, Coarse gravel:5, Cobbles (64-257 mm):55",Macrophytes-algae:y,Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,200,,,,,,,Galaxias brevipinnis,Koaro,,,TRUE,FALSE,,,,,V1
19647,1381003,Bowscale Tarn,,15/02/2001,13:30,Department of Conservation Nelson Marlborough,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1595904,5336131,-42.126917,172.950443,13057301,1030,223.5,n,u,u,,,,,,Low,Colourless,,,,,,,,,Still:100,"Mud:40, Coarse gravel:5, Cobbles (64-257 mm):55",Macrophytes-algae:y,Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,200,,,,,,,Gobiomorphus alpinus,Tarndale bully,,,TRUE,FALSE,,,,,V1
