nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
13579,1521001,Lake Tuku a taupo,,14/04/1994,,Private Individuals,,Lake Tuku a taupo,Not Entered,Perennial,,Chatham,Chatham Island,2439013,5066982,-44.067499,-176.524936,5,250,28,n,u,u,,,,,,Medium,Tea coloured or brown,,,,,,,,,Still:100,Mud:100,,Raupo/flax:100,Other net - combination of nets,Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish, ,,TRUE,FALSE,,10,80,,V1
13579,1521001,Lake Tuku a taupo,,14/04/1994,,Private Individuals,,Lake Tuku a taupo,Not Entered,Perennial,,Chatham,Chatham Island,2439013,5066982,-44.067499,-176.524936,5,250,28,n,u,u,,,,,,Medium,Tea coloured or brown,,,,,,,,,Still:100,Mud:100,,Raupo/flax:100,Other net - combination of nets,Unknown,,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,4,FALSE,FALSE,,,,,V1
18898,1521002,Lake Rakeinui,,8/01/2004,18:00,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Perennial,,Chatham,L Rakeinui,2433461,5064848,-44.092699,-176.589769,5,244,5,n,u,n,428397,,,,1,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Traps - Gee minnow,Unknown,,,,,,,,5,,,,,,Neochanna rekohua,Chatham mudfish,kept.,5,FALSE,FALSE,,71,90,,V1
18899,1521002,Lake Rakeinui,,9/01/2004,10:00,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Perennial,,Chatham,L Rakeinui,2433461,5064848,-44.092699,-176.589769,5,244,5,n,u,n,428397,,,,1,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,2,,,,,,Neochanna rekohua,Chatham mudfish,kept.,2,FALSE,FALSE,,120,125,,V1
18900,1521002,Lake Rakeinui,,9/01/2004,10:00,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Perennial,,Chatham,L Rakeinui,2433461,5064848,-44.092699,-176.589769,5,244,5,n,u,n,428397,,,,1,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Traps - Gee minnow,Unknown,,,,,,,,5,,,,,,Neochanna rekohua,Chatham mudfish,kept. Skin lesions.,14,FALSE,FALSE,,64,150,,V1
18901,1521002,Lake Rakeinui,,9/01/2004,11:00,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Perennial,,Chatham,L Rakeinui,2433474,5064948,-44.091799,-176.589769,5,244,5,n,u,n,429398,,,,0.5,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,1,,,,,,Neochanna rekohua,Chatham mudfish,kept. Skin lesions.,23,FALSE,FALSE,,61,157,,V1
18902,1521002,Lake Rakeinui,,9/01/2004,11:00,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Perennial,,Chatham,L Rakeinui,2433474,5064948,-44.091799,-176.589769,5,255,5,n,u,n,428398,,,,0.5,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Traps - Gee minnow,Unknown,,,,,,,,4,,,,,,Neochanna rekohua,Chatham mudfish,kept some. Skin lesions.,18,FALSE,FALSE,,63,146,,V1
18903,1521002,Lake Rakeinui,,9/01/2004,12:00,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Perennial,,Chatham,L Rakeinui,2433474,5064948,-44.091799,-176.589769,5,244,5,n,u,y,428398,,,,1.5,Unknown,Tea coloured or brown,,,,,,,,,Still:100,,,,Traps - Gee minnow,Unknown,,,,,,,,3,,,,,,Neochanna rekohua,Chatham mudfish,,16,FALSE,FALSE,,78,176,,V1
19757,1521002,Lake Rakeinui,,16/01/2001,,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Perennial,,Chatham,L Rakeinui,2433835,5064597,-44.094499,-176.584782,5,244,5,n,u,y,432395,,,,,Unknown,,,,,,,,,,Still:100,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:y",,Traps - Gee minnow,Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,2,FALSE,FALSE,,65,125,,V1
100624,1521006,Tuku a tamatea River tributary,300001,22/06/2006,,Department of Conservation Wellington,,Tuku a tamatea River tributary,Not Entered,Unknown,,,Chatham Island,2432628,5064124,-44.10005,-176.598868,,270,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,6,,,,,,Neochanna rekohua,Chatham mudfish,,12,FALSE,FALSE,,70,84,,V1
100625,1521003,Waipurua Creek tributary,300002,16/02/2007,,Department of Conservation Wellington,,Tuku a tamatea River tributary,Not Entered,Unknown,,Chatham,Tuku a tamatea R,2432463,5063250,-44.107978,-176.599522,5,270,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,6,,,,,,Neochanna rekohua,Chatham mudfish,,1,FALSE,FALSE,,,45,,V1
100626,1521006,Tuku a tamatea River tributary,300003,15/03/2009,,Department of Conservation Wellington,,Tuku a tamatea River tributary,Not Entered,Unknown,,Chatham,Tuku a tamatea R,2432643,5064088,-44.100353,-176.598625,5,270,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,6,,,,,,Nil,No species recorded,,1,FALSE,FALSE,,,,,V1
100627,1521005,Lake Te Rangatapu tributary,300004,17/02/2007,,Department of Conservation Wellington,,Lake Te Rangatapu tributary,Not Entered,Unknown,,Chatham,L Te Rangatapu,2433267,5063694,-44.103132,-176.590349,5,260,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,6,,,,,,Neochanna rekohua,Chatham mudfish,,1,FALSE,FALSE,,,,,V1
100628,1521004,Lake Te Rangatapu,300005,17/02/2007,,Department of Conservation Wellington,,Lake Te Rangatapu,Not Entered,Unknown,,Chatham,L Te Rangatapu,2433200,5062973,-44.109594,-176.590033,5,260,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,18,,,,,,Neochanna rekohua,Chatham mudfish,,112,FALSE,FALSE,,35,94,,V1
100629,1521002,Lake Rakeinui,300006,23/06/2006,,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Unknown,,Chatham,L Rakeinui,2433902,5064609,-44.094316,-176.583976,5,250,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,50,,,,,,Neochanna rekohua,Chatham mudfish,,191,FALSE,FALSE,,45,168,,V1
100630,1521002,Lake Rakeinui,300007,16/02/2007,,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Unknown,,Chatham,L Rakeinui,2433943,5064603,-44.094316,-176.583461,5,250,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,18,,,,,,Neochanna rekohua,Chatham mudfish,,67,FALSE,FALSE,,34,154,,V1
100631,1521002,Lake Rakeinui,300008,15/03/2009,,Department of Conservation Wellington,,Lake Rakeinui,Not Entered,Unknown,,Chatham,L Rakeinui,2433815,5064665,-44.093917,-176.585129,5,250,,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,19,,,,,,Neochanna rekohua,Chatham mudfish,,98,FALSE,FALSE,,43,159,,V1
109893,1521002,Lake Rakeinui,,20/11/2016,,Department of Conservation Otago,,Lake Rakeinui,Lake,Unknown,,,Chatham Island,2433503,5064864,-44.092509,-176.589279,,,,n,u,u,foot/LUV,,,,0.35,Unknown,Tannin,,,14.9,1.13,,,,0.1,Still:100,"Sand (1-2 mm):10, Mud/Silt (< 1mm):90","Wood/instream debris:n, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:y, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,9,FALSE,FALSE,,,,,V2
109894,1521002,Lake Rakeinui,,20/11/2016,,Department of Conservation Otago,,Lake Rakeinui,Lake,Perennial,,,Chatham Island,2433491,5064871,-44.09246,-176.589437,,,,n,u,u,foot/LUV,,,,0.4,Unknown,Tannin,,,14.9,1.13,,,,0.1,Still:100,"Sand (1-2 mm):10, Mud/Silt (< 1mm):90","Wood/instream debris:n, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:n, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,7,FALSE,FALSE,,,,,V2
109895,1521002,Lake Rakeinui,,20/11/2016,,Department of Conservation Otago,,Lake Rakeinui,Lake,Perennial,,,Chatham Island,2433486,5064872,-44.092457,-176.5895,,,,n,u,u,foot/LUV,,,,0.45,Unknown,Tannin,,,14.9,1.13,,,,0.1,Still:100,Mud/Silt (< 1mm):100,"Wood/instream debris:y, Bank vegetation:y, Undercut banks:n, Cobbles:n, Macrophytes:y, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,17,FALSE,FALSE,,,,,V2
